Place,Details,Class,WordCount
Pantheon,"At the Pantheon in Paris some of the most distinguished French luminaries are buried. This includes Voltaire, the Curies and Victor Hugo. The mausoleum features a neoclassical style, with a facade designed like the Pantheon in Rome. Its interior includes grand columns, vibrant frescoes and a dome rising 83 meters high. The Pantheon was built in the second half of the 18th century. The Pantheon was commissioned by King Louis XV for the patron saint of Paris, Saint-Genevieve.",None Related,78
Lyon Old Town,"Lyon's old town is located on the right bank of the Saône River, at the foot of the Fourviere Mountains. It was a fishing village in ancient times. In the 15th century, it became one of the largest silk production areas in the world. In the 17th century, it was the economic and cultural center of France. Stroll through the old city and travel back to the Middle Ages. Today, there are still many old buildings from the 15th to 17th centuries. Many medieval, Renaissance and classical houses are connected to each other. The streets are paved with cobblestones, and walking in it seems to be back in the Middle Ages. There are many boutiques, handicraft stores, restaurants, and cafes along the street. Don’t forget to look up at the buildings on the street while shopping. The colorful little houses are very bright, the monster-shaped drains, and the odd-shaped stone carvings carved into the window lattices. All give the old town the same charm. The main attractions are recommended Saint-Jean-Principal Cathedral. To visit the old city of Lyon, you may wish to start from the Saint-Jean-Principal Cathedral on the Saone. The facade of the church is in a gorgeous spire Gothic style, and the entrance is decorated with 280 square ornate squares. Relief. The astronomical clock located in the north wing of the church will ring the bell at noon at 12:00, 14:00 and 16:00, and the little people in the clock will come out to ""appear"". The International Museum of Miniature Film Art is located on the Avenue Saint-Jean not far from the cathedral. This small and exquisite museum contains a variety of miniature film scenes from all over the world. When you are in it, it is like stepping into a country of Lilliput. interesting. Lyon City and Puppet Museum The Lyon City and Puppet Museum, located in the north of the old city, is also very popular. It has a complete collection of puppets from all over the world. After visiting, you can take a break in the museum garden, have a cup of coffee, and experience this long history. city of. Creative market and art market If it falls on a Sunday, you can also go to the creative market and art market to the east of the Puppet Museum (Marché de lacréation et Marché artisanal). On Sunday morning, from 6:00 to 13:00, artists from Lyon will gather at Here, you can sell your own works, such as paintings, sculptures, handicrafts, etc., if you like it, take it home. Fourvière is the cradle of Lyon and the birthplace of Christianity in Lyon. There are paths winding upwards in the mountains, but it is more labor-saving to take the ropeway up the mountain, starting from the Edouars Commette square. The ""Mountain of Prayer"", the birthplace of Christianity, houses the Baroque Church of Our Lady of Fourviere, built in the 19th century, as well as the Lyon Roman Theatre and the Gallo-Roman Culture Museum. The terraces on the top of the mountain are a good place to overlook the panoramic view of the city. Here you can also see the peninsula area that gathers in the middle of the two rivers. It is also a good place to enjoy the night view at night. There are also many authentic Lyon traditional restaurants (Bouchon) in the old town. Lyon's traditional dishes are mainly pork, and you can eat a very authentic Lyonian dish for about 30 euros, including Salad Lyonnaise, pork sausage (Saucisson), pig water (AndouillettesTripes) and so on.",None Related,590
Fondation Monet in Giverny,"The Monet Garden is the former residence of the French Impressionist painter Claude Monet, located in the small town of Giverny, 70 kilometers west of Paris. This former residence is divided into Monet's residence and Monet's garden, which is divided into garden and water garden. The garden, also called the Normandy Garden, is located in front of the house, in a rectangular shape, covering an area of about one hectare; the water garden is an artificial lake filled with water lilies, where Monet completed his ""Water Lilies"" series and ""Japanese Bridge"" series. In 1883, Monet was attracted by the beautiful scenery when he passed by the train, so he moved to live here, and spent 43 years here, writing countless books in half his life. Monet called himself ""the garden is my beautiful work"". Today, Monet's garden is still maintained in the same way as Monet lived in those days. From the tulips when the garden opened at the end of March, to the water lilies in midsummer, to the chrysanthemums before the closing of the museum at the end of October, you can find all kinds of Monet's paintings here. color.",None Related,192
Gardens of Versailles,"The Garden of Versailles was once part of the Royal Territory of Versailles. It is located west of the Palace of Versailles and covers an area of 800 hectares. It is a classic French garden with well-manicured lawns, flower beds and sculpture fountains. It is surrounded by woodland, as well as the urban area of Versailles.",None Related,56
Promenade Des Anglais,"The English Promenade was built by the British colonists of Nice in 1822. The whole site is 5 kilometers away, next to the Bay of Angels, connecting Nice Airport and the Castle Hill. The avenue is adorned with palm trees all year round, and is lined with boutiques and luxury hotels on both sides. In the 19th century, a large number of Britons chose Nice's Bay of Angels as their holiday destination to escape the harsh winter. In 1820, Lewis Wei, an Englishman, initiated social fundraising and built the pedestrian street, which was only 2 meters wide at the time, into the current-scale avenue, and named ""Anglais, the British"" as the name of the avenue.",None Related,115
Luxembourg Gardens,"The Luxembourg Gardens are a must-see for both Parisians and foreign tourists. The park is located in the sixth arrondissement of Paris, the center of the Latin Quarter, and is the largest park in Paris. The park you can see today has been expanded and renovated, and it has a pleasant appearance. The rich Parisian art of living and natural scenery in the park complement each other, and art, sports, leisure and entertainment complement each other. The famous attraction of the park is the Luxembourg Palace located at the back of the garden, which is now the French Senate. The west corridor of the palace used to be the residence of Queen Maria. Since the Fifth Republic, the Luxembourg Palace has become the office of the Senate. The Luxembourg Palace can be said to be the crowning touch of the French park in the Luxembourg Gardens, complemented by the Queen Medici Fountain. Next to the Luxembourg Palace is the Luxembourg Museum, where various works of art are regularly displayed, and some temporary large-scale art exhibitions can also be held. The Luxembourg Palace is connected to the Luxembourg Museum by the Vaugirard road. There is also a tennis court in front of the museum for public use. #appreciating statues# In addition to the above two large-scale attractions, there are more than 100 statues and sculptures in the park, which appear in every corner of the park. It shows figures and animals from Greek mythology and some artists like Beethoven or Baudelaire. There are also statues of French queens and outstanding women on the flat ground in the center. #Full of leisure# The entire Luxembourg Garden is open to all directions. The roads in the garden are straight, the high canopy increases the visual permeability, and there are a lot of open spaces around the central pool and flower beds. Although the park is very large and there are many people, it does not affect the unique and comfortable atmosphere here. The scenery is beautiful and comfortable. You can see locals jogging here. There are green seats under many trees for those who come here. Many Parisians usually like to come here to sit, sit and read a book, or play chess. There are always many students and young people around the pond in the center of the park, whether they are reading, chatting, or having a picnic or a nap, they are full of leisure and energy. Photo exhibitions are often held on the fence around the park, and the music booth in the northeast corner of the park is often the venue for concerts. There are also occasional opera performances in the park. In any open space in the park, you can see the Eiffel Tower and the tallest building in Paris - Montparnasse Tower not far away. The tower is at the front right of the park and the building is at the front left. Since the original Luxembourg Palace has become the French Senate today, the park's control is slightly stricter, and the opening hours are also complicated, that is to say, it opens at about 8:00 in the morning, and closes at about 9:30 in the evening in summer, and in December in winter, it is closed. Close earlier at 4.30pm, and so on every 15 days. Family friendly and children have their own activities: playground, horse rides and puppet shows. Around the fountain in the middle of the park, children often play games with remote-controlled boats and sailboats. In addition, if you are bringing children, the children's play facilities here are not to be missed, you can swing, ride a merry-go-round and watch a puppet show here. Around the fountain in the center of the park, local children often play games with remote control boats and sailboats. Choose a sunny afternoon, sit on the lawn of the park and spend time in a daze, or close your eyes and take a nap, this is indeed a good place.",None Related,662
Old Port of Marseille,"The old port area is the center of gravity and the essence of the entire Marseille region, not only because it is the origin of Marseille and was the third largest port in the world 200 years ago, but more importantly, the pure Marseille style can only be seen here. There are many famous monuments around the Old Port, including the castles of Saint John and Saint Nicholas built in the era of Louis XIV. In addition, the old port is also the life and entertainment center of the Maasai people. The area around the Old Port is a famous food district. Most of the restaurants in the port operate a famous Marseille delicacy - ""Marseille Fish Soup"". The ""Old Port"" is actually not old. It was rebuilt after the Second World War, but the locals still call it ""Old Port"". Apart from habit, there should be a historical sentiment in it. Every morning, the fish market here is very lively, and the wharf is full of small fishing boats and boats. The whole harbor is full of the unique leisure atmosphere of southern France. The master plan of the Old Port Mirror View Pavilion was jointly undertaken by FosterPartners and French landscape architect Michel Desvigne. A huge viewing pavilion of 46 × 22 meters, which is like a mirror, was built here. It is supported by 8 thin columns. Since then, the corners of the mirror pavilion have been gradually thinned to reduce the visual weight. The view of the surrounding old port is reflected from the ceiling of the polished stainless steel mirror, as well as the faces of thousands of tourists who stop to watch, creating a strange beauty, which not only provides a place for tourists to stop and shade, but also It allows tourists to become part of the landscape when they enjoy the scenery of the old port.",None Related,314
Place de la Concorde,"Place de la Concorde is one of the famous squares and beautiful squares in France. During the French Revolution, Louis XVI and Queen Mary were executed here. Geographical location Place de la Concorde is an octagon surrounded by a moat, with the Seine River to the south, and the Palais Bourbon, the seat of the French National Assembly on the left bank, connected to the Concorde Bridge on the river. Between the east and the Louvre is the Tuileries Garden, which used to be the Royal Palace of France and was burned down by the Paris Commune in 1871. There are tennis courts, a modern art gallery and an orangery art gallery in the garden. To the west of the square is the eastern starting point of the Champs-Elysées, which leads directly to Place Charles de Gaulle, where the Arc de Triomphe in Paris is located. To the north of the square are two buildings of the same style, the French Admiralty in the east and the Clarion Hotel in the west, with the Royal Road in the middle, which leads to the Madeleine Church in the north. In addition, the US Embassy in France is located at the northwest corner of the square, at the intersection of Avenue Gabriel and RueBoissyd'Anglas. The northeast corner of Place de la Concorde is the western end of Rue de Rivoli. The monuments, sculptures and fountains in the Egyptian Obelisk Square are also not to be missed. In the center of the square stands an Egyptian obelisk with a height of 23 meters. In 1998 the French government added a golden pyramid spire to the obelisk. There are also two magnificent fountains and some ornate monuments at both ends of the Monument and Fountain Square. The monument is decorated with the prow of a boat, a symbol of the city of Paris. On the north side of the square is the River God Fountain (LaFontainedesFleuves), and on the south side of the square is the Neptune Fountain (LaFontainedesMers). The two fountains deliberately reflect the superb navigation and river navigation technology of France at that time. There is a three-layer fountain on each side of the fountain. There are 6 exquisite bronze sculptures of mermaids on the fountain, each holding a fish in his hand, and spraying several meters high from the fish mouth. water column, water splash. In addition, there are eight statues representing eight cities in 19th century France on all sides of the square, Rouen and Brest in the northwest, Lille and Strasbourg in the northeast, Bordeaux and Nantes in the southwest, and Nantes in the southeast. Marseille and Lyon. Concorde Square, where the blockbuster was filmed, was also the location for many Hollywood fashion blockbusters. There is a small Ferris wheel on one side of the square, which will be moved to the square every winter for tourists to ride. In addition, there are many soldiers on horseback in the square, who are very friendly and willing to help tourists. If they are not busy, they can ask for a photo.",None Related,511
Baie des Anges,"Angel Bay is adjacent to the English Promenade, named after the shape of the wings of an angel. It is a very beautiful beach in France and a good place to spend summer. Climbing up the castle and overlooking from the east is a better angle to appreciate Angel Bay. The beaches of Nice are very special. The beach is paved with pebbles. You can directly use your backpack as a pillow, lie on the coast, enjoy the luxurious sunbathing, and listen to the sound of the sea flowing through the cracks of the rocks as the tide hits the pebbles.",None Related,101
Montmartre,"This area is full of alleys and stairs, full of romance. ""Angel Amelie"" was shot here, and well-known attractions such as the Love Wall, the Hill Square, the Montmartre Museum, and the Montmartre Cemetery have attracted many tourists. You can sit in front of the Basilica of the Sacred Heart overlooking the bustling Paris, or you can ask street painters to paint for you in the Place du Château, or you can leave a message and make a wish in front of the love wall filled with love languages in various languages. There is a romantic atmosphere.",None Related,97
Crazy Horse Paris,"Crazy Horse Show is a performance by the French Dance Troupe (Crazy Horse Club, established in 1951). ─. Crazy Horse Club is made up of glamorous dancers and models of the same proportions. All of them are the ultimate stunners, so they have the art of Venus in the show. Crazy Horse Club is famous for its dance show, it is as famous as the famous Red Mill and Lido, and its overall performance style releases the mystery of magnetism.",None Related,80
old nice,"Today, the old town of Nice still maintains the appearance of the 17th and 18th century AD. You can hunt for treasures in the labyrinth of alleys, experience old-fashioned French shopping in the square market in Sarea, and enjoy the traditional delicious food of Nice in the square! Nice was first built by the Greeks, then conquered by the Roman Empire, and only broke away from Italian rule in 1860. Therefore, the old town of Nice (VieuxNice) is full of old buildings full of Italian style, the buildings are bright and bright, the alleys twist and turn with the hills, those characteristic shops hidden in the alleys, century-old restaurants and bars always give Visitors are amazed. Sights to visit in the old town: Nice Opera House built in 1855, Cathédrale Sainte-Réparate, Place Garibaladi, Palais Lascaris, Chapelledela Miséricorde .",None Related,138
Musee de l'Orangerie,"A visitor can soak in the tranquility of Monet's water lilies and the inspired art of other impressionist and post-impressionist painters at this gallery. It is located on the banks of the Seine at the Tuileries Palace. Monet himself chose this venue to showcase his work, but you will also find the masterpieces of Matisse, Picasso, Renoir, and others inside the cool, white-washed halls of the museum",None Related,67
Provence,"Provence, once an administrative province of the Roman Empire, is now a large region in southeastern France, bordering the Mediterranean Sea to the south, the Alps to the north, and Italy. There are major cities such as Marseille, Avignon, and Aix in Provence. Because of the unique climate and soil, a field of lavender and sunflowers spreads all over the countryside, which makes the entire Provence full of tourist attractions. The refreshing thing about Provence is that its air is always full of lavender, thyme, pine and other aromas. This unique natural aroma cannot be experienced in other places. Among the flowers, lavender is loved. The bright sunshine is suitable for the growth of lavender, and the local residents are widely planted out of their love for lavender. In many places such as Valensole and Senanque Abbey in Provence, you can see the charming picture of the purple flower sea churning and emerging. . Although we are accustomed to associating Provence with lavender, today's Provence has already surpassed this symbol or the pure place-name meaning. It also represents a simple, carefree, relaxed and lazy way of life. Watch the flowers bloom and fall in front of the court; go and stay unintentionally, look at the leisurely mood of the sky. If travel is to escape the shackles of life, Provence will make you forget everything.",None Related,225
Moulin Rouge,"The Moulin Rouge is located in the Pigalle area of the Montmartre district of Paris. The Moulin Rouge is not big from the outside, and the red windmill on the roof is his symbol, which is very conspicuous. Historical background The Moulin Rouge was founded in 1889. It is a historic show in Paris. Now it can accommodate more than 2,000 people and attract audiences from all over the world. In 2001, Nicole Kidman starred in ""Moulin Rouge"" to make it more famous. The exciting cabaret show Moulin Rouge is also known as the birthplace of modern cancan, which incorporates more acrobatic and athletic skills. Lively rhythm, kicking high thighs, amazing, slightly crazy. In addition, the sky show is also very attractive. The exquisite costumes of the dancers are tailor-made by Italian design masters. The stage design is quite elegant, and the scenes are varied. The dancers come from all over the world, and the performance level is very high. During the period, acrobatics and magic are interspersed. Waiting for the performance, amazing and exciting. Night performances The Moulin Rouge song and dance show usually starts at 7 pm, and there are two to three performances every night. The performance time is about 1 hour and 30 minutes. The performances including dinner are generally around 7 pm. Please refer to the official website for the specific time. When watching the performance, the Moulin Rouge does not allow coats and coats to be brought into the room, and coats must be stored before entering the venue.",None Related,255
Fontainebleau Palace,"The Palace of Fontainebleau is known as ""the epitome of French history"" and is included in the World Heritage List. It was originally a royal hunting palace and was expanded into an important palace in the French Renaissance. Later, many architects and artists participated in the reconstruction, so it left the imprint of the styles of various periods. Location Fontainebleau is a small town located about 55 kilometers southeast of Paris. It is one of the favorite weekend excursions of Parisians. The Palace of Fontainebleau is located here, surrounded by forests. The Fontainebleau Forest surrounding the palace was originally a royal hunting ground, and now it has become an outdoor sports base for bouldering enthusiasts. The bouldering season in October attracts many rock climbers from all over the world. The main building of the Palace of Fontainebleau includes a main tower, six palaces, five courtyards and four gardens. The main attractions in the palace are the ballroom, the conference hall, the chapel, the throne hall, the Diana fresco promenade, the François I promenade, the queen's bedroom, the Napoleon's living room, and the Pope's apartment. Napoleon loves yellow, and his wife Josephine prefers roses, so the overall colors of the interior decoration are mainly yellow and rose red. There are also four museums in the palace, namely the China Pavilion, the Napoleon I Pavilion, the Gallery, and the Home Pavilion. Among them, the Chinese Pavilion has a large collection of precious cultural relics from Yuanmingyuan, and displays thousands of art treasures such as ancient paintings, gold and jade jewelry, and sculptures of China's Ming and Qing Dynasties, but sometimes it is not open to visit. Among Western museums, the Palace of Fontainebleau is the collection and exhibition of Yuanmingyuan treasures. #White Horse Court# The White Horse Court is the main entrance to Fontainebleau. The horseshoe-shaped steps here are a scene of the Palace of Fontainebleau, where Napoleon gave his speech when he abdicated. #China Pavilion# Entering the building from the right side of the courtyard is the ticket office. Don't forget to lead the audio guide after purchasing the ticket. Then walk along this promenade and start to visit the Palace of Fontainebleau. There are stairs near the end, so don't rush upstairs, just keep going to the China Pavilion. If you can't find the location of the China Pavilion, you can ask the staff. The door of the China Pavilion is generally closed, and it needs to be closed after entering. There is a golden pagoda about 2 meters high in a prominent position in the museum. The whole body is inlaid with emeralds on every floor, which is basically similar to the existing golden pagoda in the Forbidden City in Beijing. There are also two precious gilt bells and other various Yuanmingyuan treasures. Except for weekends and holidays, the China Pavilion is closed earlier, so you can visit it in the morning. On March 1, 2015, 15 exhibits were stolen from the Palace of Fontainebleau, including the cloisonné unicorn and the golden manza in the old collection of Yuanmingyuan. #other treasures# Go upstairs from the China Pavilion, and you can continue to enjoy the Napoleon I Pavilion, the Throne Hall (Napoleon's throne is very small) and many other rooms. You can also see the François I promenade. The lower half is made of golden yellow fine wood carvings about 2 meters high as a retaining wall. Exquisite murals, the entire promenade is both brilliant and elegant. After visiting the main exhibition halls, go down to the first floor to the exit, where there is a souvenir shop, and you can go out to browse the courtyard and garden. In fact, you can also go back to the China Pavilion after a short walk from the exit, but there is only a hint to enter the courtyard. In addition to the indoor landscape, the courtyard of the Palace of Fontainebleau is also very characteristic. The decorative style of the combination of thin wood retaining walls, plaster reliefs and murals is very unique. In Diana's garden, there are flower beds and sculptures, as well as small and exquisite fountains. You can also roam freely in the large park green forest. There is a tea room in the scenic area of Fontainebleau Palace, and there are many restaurants in the town with moderate prices.",None Related,722
The Basilica of Sacré-Cœur de Montmartre,"Sacré-Cœur (or the Basilica of the Sacred Heart of Paris) commands the heights of Montmartre. As well as being one of Paris's famous landmarks, this is a quintessential symbol of Montmartre. Sacré-Cœur's architectural style is interesting, mixing a Romano-Byzantine design while the curved white domes are rather oriental in form. The pure white exterior is particularly eye-catching and the mosaics on the interior of the dome even more amazing. Visitors can climb up the spiral staircase to  the basilica dome and be rewarded with a spectacular panoramic view of northern Paris.",None Related,91
Lake Geneva,"Lake Geneva, also known as Lake Geneva, spans Switzerland and France. It is an important lake in Western Europe and a famous scenic spot and health resort. During the day you can take a cruise on Lake Geneva, revel in the neon lights on the shore at night, and there are often luxury cruise ships hosting concerts or dances on the lake. Overview of Lake Geneva The entire Lake Geneva is slightly crescent-shaped. The north bank and the east and west ends belong to Vaud, Valais and Geneva in Switzerland, and the south bank belongs to the Haute Savoie department of France. The lake is about 75 kilometers long from east to west, about 14 kilometers wide from north to south, and 330 meters deep. Pleasant lake view The climate on both sides of Lake Geneva is mild and pleasant in all seasons. The lake, the snow-capped mountains and the blue sky are connected together, thousands of teal soar on the lake, and swans swim in the water. Yachts and colorful sails are cruising in the lake, and flocks of white pigeons are roaming around the lake, which is peaceful and quiet. Enjoying the Big Fountain Show In Lake Geneva, the most striking thing is the huge artificial fountain, which is like a water column spouted by a whale. It can be seen all over Geneva. At night, the big fountain will be more magnificent under the illumination of lights. By cruise ship Generally, tourists who visit Lake Geneva will choose to take a cruise. The place of boarding is usually at the Mont Blanc pier in Geneva. You can choose to participate in a cruise that lasts about 1 hour. This trip will take you around the big fountain and visit Geneva. Views around the lake. In addition, there are also cruise packages including lunch and dinner. No matter it is day or night, you will not be disappointed. The specific routes and fares can be found at: http://www.cgn.ch/Slow time by the lake, of course, the weather is good You can also choose to take a stroll by the lake, enjoy the postcard-like scenery, and leave good memories for yourself. If you are tired of walking, you can also sit in the outdoor cafe by the lake, order a cup of mellow coffee, and spend a leisurely afternoon slowly, waiting for the beautiful sunset.",None Related,395
The Centre Pompidou,"The Pompidou National Center for Culture and Art is a centralized display place for French 20th century culture and art. Now, the Pompidou Cultural Center is not just a cultural center, it has become another major attraction in Paris. The creation of this cultural and artistic center was the brainchild of President Georges Pompidou and was later completed in 1969 by several well-known architects including Richard Rogers. The modern look of this behemoth is made of steel and glass pipes, and the exterior walls are covered in colorful pipes and steel trusses that you can tell by color: blue for the air-conditioning exhaust system, yellow for the power system, and green pipes for the water pipes. In the giant transparent cylindrical pipes, the escalators are busy transporting visitors to various floors, and you can also enjoy the scenery outside through the glass when taking the elevator. The whole building is like a construction site under construction. It is entrenched in the elegant and beautiful ancient buildings in Paris. It is particularly unconventional. Some people jokingly call it ""the oil refinery in the city center"". How to visit the Centre Pompidou, including the public information library, the French Museum of Modern Art and Acoustics, the Music Research Association, as well as numerous exhibition halls, shops, restaurants and cinemas. Tickets for each exhibition hall are different and can be purchased as appropriate, and the first Sunday of each month is free. There is also a luggage storage office, a café, a souvenir shop, a bookstore and a children's playroom on the ground floor lobby, and an architectural model of the entire Pompidou Cultural Center is displayed. There are cinemas, activity rooms and performance halls on the second floor. Exhibitions, literary and philosophical seminars are held from time to time. You can also watch movies here, enjoy concerts, drama performances, etc. The number of performances and ticket prices can be checked on the official website. The third and fourth floors of the Pompidou National Center for Culture and Art are open-shelf libraries, which have a large collection of books and are easy to borrow. It is a public library often visited by locals, and borrowing is free. The National Museum of Modern Art on the fifth and sixth floors is a place where many tourists will visit. You can admire many incredible modern and postmodern art works, such as Cezanne's ""Mona Lisa with a Beard"" , some works of Pop Art pioneer Marshall Reese, etc. If you are not interested in modern art, you can go to the seventh floor of the Pompidou Cultural Center, where there is a viewing platform, where you can overlook the panoramic view of Paris, overlooking the Montmartre district and the Sacré Coeur. The sloping venue in front of the Pompidou National Cultural and Art Center is the Pompidou Square, which can accommodate spontaneous entertainment activities and open-air performances. This allows the restoration of traditional street art and becomes a ""paradise"" for the free activities of street performers.",None Related,500
Palais Garnier,"The architecture of the Palais Garnier is stunningly gorgeous both inside and out. The principal façade is completely covered with a number of decorative sculptures and intricate designs. The interior decor is also very luxurious. The four walls and colonnades are completely covered with Baroque statues, hanging lamps, and paintings. It is noteworthy for the 1910 novel ""The Phantom of the Opera"", which was subsequently made into films and a musical by Andrew Lloyd Webber. Most performances that would have been held at the Palais Garnier have moved to the Opéra Bastille. The Palais is generally open to the public for tours, and nights featuring ballet or opera performances.",None Related,109
Avenue des Champs-Élysées,"Avenue des Champs-Élysées is one of Paris's most famous avenues. It is also the heart of French fashion. Countless famous international brands are gathered here, from Disney to Louis Vuitton. Paris is the fashion capital of the world and this is the fashion capital of Paris. No matter what style, visitors are sure to find something for them. As you slowly stroll along the Champs Elysées, you will eventually come to the Arc de Triomphe. The windows facing the street are filled with elaborate displays of the most fashionable brands' newest product lines. If nothing else, you can meet your heart’s desires by going window shopping!",None Related,106
Cathédrale Notre-Dame de Paris,"[Editor's Note: On 15 April, 2019, a fire destroyed large portions of Notre-Dame. The much of the historic wooden roof and the cathedral spire were lost. As of this edit, the extent of the damage was still being assessed. The cathedral will be forced to close for the foreseeable future.]

Cathédrale Notre-Dame de Paris, known simply as Notre-Dame, is often described as the very heart of Paris. Construction work began in 1160 and was largely completed in 1260, through renovations and modifications occurred often over the following centuries. It is a stunning example of French Gothic architecture and particularly well-known for its many gargoyles and flying buttresses. The cathedral’s stained glasses windows date from the 13th century, making them essentially priceless. Notre-Dame has played an important role throughout French history. In 1802, Napoleon Bonaparte was crowned Emperor of France here. Located on the Ile de la Cite in the Sine River, Notre-Dame is a true masterpiece.",None Related,156
Seine River tour boat,"There are many companies along the Seine River that provide Seine River cruises and on-board dining services, and are generally equipped with Chinese language guides. You can choose to depart from iconic locations such as Notre Dame Cathedral and the Eiffel Tower. Generally, cruise ships have rainproof facilities, and some are also equipped with air conditioners and other equipment, which can cope with all kinds of weather. Some cruise ships are equipped with multi-language explanation broadcasts, you can listen closer to understand the coastal attractions.",None Related,85
Disneyland Paris,"Christmas is coming! From 11 th November, come and experience the magic of Christmas like nowhere else at Disneyland® Paris. There's nothing like the unique atmosphere of Disney Enchanted Christmas to bring your loved ones together and create unforgettable memories that will last a lifetime! Gaze in awe at the majestic twinkling Christmas tree, cheer along to the star-studded Mickey's Dazzling Christmas Parade! that beams during the day and sparkles at night and enjoy many more festive surprises with beloved Disney Characters!
Step into a twinkling wonderland bursting with Christmas cheer﻿△ Share a wish and experience magical moments together in the most enchanting of Christmas wonderlands that only Disney can imagine. Feel an extra special festive spirit as you wander the twinkling streets of Disneyland® Park and gaze at the giant, sparkling tree – more magical than ever before. You may even see snow on Main Street!
Don’t miss the magical illumination of our giant Christmas tree△ Make sure you head to Town Square at dusk for some very magical, heart-warming moments. Our giant Christmas tree is illuminated many times throughout the day and evening, each time lighting up the eyes of those watching on. And the festivities continue when Mickey & Friends, Disney Princess Characters and Santa stop by during Mickey's Dazzling Christmas Parade! to join in with the fun.
Feel the joy of Mickey’s Dazzling Christmas Parade!△ Whoop and wave for our most merrily magical festive procession – Mickey’s Dazzling Christmas Parade! During the day, Mickey & Friends, Disney Princess Characters and Santa will be dancing and gliding down Main Street, U.S.A.® on fabulous floats – bedecked in their own twinkling Christmas tree design. While at night, the parade glows bright, adding even more sparkle to the most enchanting of Christmas wonderlands.
Share Christmas wishes with Disney Characters… and Santa! △ Come together with Disney Characters dressed in all their festive finery and feel the magic of Christmas come to life like nowhere else. This is your chance to wish Stitch, Goofy and their friends the happiest of ho, ho, holidays. And even meet and snap a photo with Santa himself – what will you ask him for?
Get together with Mickey & Friends for a merry musical sing-along﻿△ Sing along with Mickey, Minnie, Donald, Daisy and Goofy as they swing into the Christmas spirit with Let’s Sing Christmas! show at Videopolis in Discoveryland. With a sackful of festive songs, this celebration of music proves that there’s nothing quite like a merry-making tune to bring everyone together.
Have a very yummy Christmas!△ The time has come to gather around the table and enjoy Disneylicious specialities to celebrate Christmas. Warm up with a winter velouté, stuffed poultry with chestnuts and cranberries, a ho-ho-hot chocolate, or one of the many other specialities in the Disney® Parks and Disney® Hotels... there's even a Christmas market – L’Hiver Gourmand.",None Related,477
