,Place,Details,Class
65,Prince Gong's Mansion,"Prince Gong's Mansion near Houhai, is the largest palace from the Qing Dynasty. It was once the residence of Minister Heshen during the reign of Emperor Qianlong of the Qing Dynasty. Heshen is a famous corrupt official in Chinese history. After Prince Gong moved in, it was renamed Prince Gong's Mansion. Prince Gong's Mansion is a relatively well-preserved palace from the Qing Dynasty. There are more than 30 different types of buildings here. At one point, the garden in the mansion was one the most exquisite mansion gardens in Beijing.",None Related
66,Humble Administrator's Garden,"This is one of ""China's Four Gardens"" and a world cultural heritage site. The Humble Administrator’s Garden is known for its water landscape that highlights the ambiance of the Southern Chinese villages built on bodies of water. It is elegant and delicately designed. In the garden, different kinds of ancient architecture were built on water. They are scattered strategically and not one is the same as another. The garden is divided into three parts: the east, the middle, and the west. Each part has its own characteristics, especially the central garden, which basically maintains the simple and natural style of the Ming Dynasty gardens.",None Related
67,Manting Park,"Located in the southeast of Jinghong City in Yunnan Province, Manting Park is a natural village-style park and a well-established urban park in Xishuangbanna. Travelers can visit the vines area, check out plants and gardens in the peacock garden, visit exquisite Dai and Thai-style buildings, and watch ethnic musical performances in the evening.",None Related
68,Libo Seven Small Arches (Xiaoqikong) Scenic Area,"The Libo Seven Small Arches Scenic Area is located among the karst peaks south of the Libo County urban area. The attraction gets its name from a seven-arched bluestone bridge that crosses the noisy river there. The site incorporates all the beauty of mountains, water, trees, caves, lakes, and waterfalls. This natural splendor has combined with the authentic cultural flavor of the Tujia and Yao people of the area to bring fame to the area. Attractions like the ancient seven-arched bridge, the water forest, the crouching dragon pool, and Mandarin Duck Lake make the area like an earthly fairyland.",None Related
69,Hunan Provincial Museum,"Hunan Museum has a rich collection of cultural relics, especially of those from the Mawangdui Han Dynasty Tombs. The Mawangdui Han Dynasty Tombs Exhibition is a permanent exhibit at Hunan Museum. It features thin-as-cicada-wing plain yarn garments, undamaged printed cotton gowns, all kinds of exquisite embroidery, brightly painted lacquer wares, delicate and detailed paintings, and so on.",None Related
70,Xijiang Qianhu Miao Village,"Xijiang Qianhu Miao Village is a very large village of the Miao, one of China's minority groups, and is composed of more than a dozen smaller villages built on the side of the mountain. Within the village are the Miao group's unique wooden houses, called Diaojiaolou. At night, when all the lights of these houses turn on, the view is beautiful. When you come to Xijiang Qianhu Miao Village, in addition to enjoying the scenery, you'll also experience the Miao's way of living. Here you can enjoy a special ""long table feast,"" as well as a variety of Miao specialties, which are mostly sour and spicy.",None Related
71,Dali Ancient City,"Located at the foot of the beautiful Cangshan Mountain, Dali Ancient City is the capital of ancient Nanzhao and Dali countries. With a slow pace lifestyle, a relatively warm climate and beautiful natural surroundings, it is a very conducive place for living. Combing the ancient city for artsy shops and hipster cafes is a very therapeutic and thrilling experience. The third and fourth month of the lunar calendar is filled with a lot of local festivals. The famous San Yue Jie or ""Third Month Street"", is the biggest festival of the year for local Bai people. Merchants come from far and wide to set up street markets and sell their interesting array of goods. There's also horse racing, archery and other competitions throughout the day. Join in the fun if you happen to be there!",None Related
72,Emei Mountain,"Mount Emei is one of the four famous mountains of Chinese Buddhism, and it is also the temple of Samantabhadra Bodhisattva. There are numerous Buddhist monasteries in the mountains that combine to give this place a holy and serene atmosphere. The scenery in the mountains are beautiful. The four seasons each have their own characteristics. If you are lucky, you can see the sunrise and sea of clouds. Do note that the monkeys in Mount Emei are notoriously naughty. They are not afraid of people, and even take the initiative to ask tourists for food.",None Related
73,National Museum of China,"The National Museum of China next to Tiananmen Square is home to many of China's national treasures such as the Four Goat Square Zun and Simuwu Square Cauldron. At the museum, you can view the terracotta warriors of Shaanxi, the sanxingdui masks of Sichuan, and the beast heads of the Summer Palace. Many national treasures that people usually only read about are there for you to see. The museum is divided into five floors with a total of 48 exhibition halls. They have a collection of more than a million items and it takes at least a whole day to explore the museum thoroughly.",None Related
74,Oriental Pearl Radio & Television Tower,"The Oriental Pearl Radio & Television Tower is arguably the most recognizable feature on Shanghai’s skyline. Completed in 1994, it has come to symbolize China’s modernization and emergence on the global scene. Visitors travel up and down the Oriental Pearl Tower in double-decker elevators that can hold up to fifty people. Located on the tower’s lower levels is the Shanghai Municipal History Museum. Given its iconic status, this is certainly a can’t-miss attraction.",None Related
75,Zhuhai Chimelong Ocean Kingdom,"Located in Hengqin, Zhuhai, Chimelong Ocean Kingdom is an enormous marine theme park. The park has a total of eight theme areas, including marine exhibition halls, active amusement facilities and animal performances. You can see a lot of rare marine species, and also experience the nearly 20-story flying roller coaster. There are exciting parades and fireworks on display too.",None Related
76,Summer Palace,"Situated in the Haidian District northwest of Beijing, the Summer Palace is a Unesco World Heritage site that used to be the palace and garden of the emperors of the Qing Dynasty. It is the largest and most well preserved royal park in China. Construction of the palace began in 1750 and it served as a residential and entertainment area for the royal members. The palace underwent two major reconstructions after suffering damages during invasions by the Anglo-French Allied Forces and the Eight-Power Allied Forces during the late 19th and early 20th centuries. The Summer Palace can be divided into three sectors: a political activity area centered at the Hall of Benevolence and Longevity; an empress living area concentrated around the Hall of Jade Billows and Hall of Joy and Longevity; and a tour route concentrated along the long corridor, rear hill, and the west sector.",None Related
77,Mount Huangshan,"Mount Huangshan is famous for its long history. ""You would not want to visit mountains after visiting the Five Sacred Mountains, and you would not want to visit the Five Sacred Mountains after visiting Huangshan."" Xu Xiake, a great traveler and geographer of the Ming Dynasty, twice ascended Huangshan to witness its magnificence, exclaiming it as ""a wonder in life."" Dramatic Pines, grotesque rocks, sea of clouds, and hot springs are known as the “Four Musts” of Huangshan. They are the uncanny workmanship of nature and cannot be missed. In addition, the haze, snow scene, and sunrise are unique landscapes of Huangshan. Each landscape has its unique beauty and makes you feel like you are in a fairyland.",None Related
78,Tang Dynasty Furong Garden,"The Tang Dynasty Furong Garden located on the southeast side of Giant Wild Goose Pagoda, was built on the site of the original Furong Garden in the Tang Dynasty. With Furong Lake as the geographical center, Ziyun Tower, Luyu Tea House, Fengming Nineteenth Theatre and many other attractions surround the lake. This place showcases large-scale replicas of Tang-era buildings. Here, you can enjoy the magnificence of Tang buildings, appreciate the beautifully-lit scenery, and watch musicals in the style of the Tang Dynasty.",None Related
79,The Lost Chambers Aquarium (Sanya),"The Lost Chambers Aquarium is a popular attraction in Sanya. The aquarium has staggered underwater tunnels and distinctive corridors. It has more than 30 display pools and tens of thousands of marine life can be seen here. The gigantic transparent display curtain wall is one of the most popular part of the tour with direct visual access to various marine life on the sea floor and the remains of Atlantis. In addition, the aquarium also offers plenty of diving programs for visitors to experience the magic of the underwater world.",None Related
80,Wuhou Shrine,"Wuhou Temple commemorates Zhuge Liang, the prime minister of the Shu Kingdom during the Three Kingdoms Period. When it was first constructed, it was adjacent to Liu Bei’s Han Zhao Lie Temple, but It was later incorporated into the Han Zhao Lie Temple during the Ming Dynasty and became a rare temple in China that commemorates both a ruler and his subordinates in a same compound. The cultural relics area is composed of Huiling Mausoleum, Han Zhaolie Temple, Wuhou Temple and Sanyi Temple. The main building is Wuhou Temple, which enshrines Liu Bei, Zhuge Liang and other heroes of Shu-Han Kingdom. Chengdu's famous landscape ""Red Wall and Shadows of Bamboo"" is also in the scenic area. Do take some photos when you are there!",None Related
81,"Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences","The Xishuangbanna Tropical Botanical Garden of the Chinese Academy of Sciences is located in Yilun Town, Mengla County, Xishuangbanna. The park is divided into two parts: the eastern area and the western area. The West District is the main attraction. It includes more than 20 specialized botanic gardens. The “Exotic Flower Garden"" is the most popular among tourists. Eastern District is a large area of ​​old-growth tropical rain forest. Most areas are paved with viewing trails, suitable for travelers who enjoy hiking.",None Related
82,Nanshan Cultural Tourism Zone,"Nanshan Cultural Tourism Zone is located in Yazhou District of Sanya. It is a famous religious and cultural site in China. The attraction is built by the sea, where you can enjoy the natural beauty of mountains and seas. The Nanshan Temple and the 33 Guanyin Temple in the scenic spot are both excellent places for worshipping Buddhas. At the end of the scenic spot, the 108-meter high Guan Yin of Nanshan cannot be missed.",None Related
83,Orange Island,"Orange Island is a long and narrow island in the Xiang Jiang River. It is the world's longest inland river island and also one of Changsha's most famous attractions. The island has dense trees, a large orange garden, a huge Mao Zedong Statue, and other cultural galleries. During his youth days, Mao Zedong spent a lot of time walking along the beaches, sunbathing and swimming at the island. He even wrote a poem about the island. During major festivals, there will be fireworks display available here, treating visitors to a visual feast.",None Related
84,Yellow Crane Tower,"Yellow Crane Tower is a landmark building of Wuhan. It is located on the bank of the Yangtze River and above Snake Hill in Wuchang. Many celebrities have written famous poems about the tower. Yellow Crane Tower was built during the Three Kingdoms period, but it was destroyed many times. What we see now is the reconstructed version built in 1985. When you climb the Yellow Crane Tower, you can see the spectacular view of the Yangtze River and Wuhan's three districts.",None Related
85,Weizhou Island,"Located at the south of Beihai Sea, Weizhou Island is one of China's largest extinct volcanoes. The charm of this island lies in its volcanic rocks at the Crocodile Hill Scenic Area, abundance of sea-erosion landscapes, beaches with different styles, cultural attractions with long history, and beautiful sunrise and sunset. For food lovers, the reasonably-priced seafood here cannot be missed.",None Related
86,West Island,"West Island is a small island located in the southwest of downtown Sanya. The island has beautiful scenery and clear sea water. You can play various sea sports there. Being close to the Sanya National Coral Reef Nature Reserve, it is very suitable for diving. The underwater scenery is very good. In addition to water entertainment, you can also have fun on Niuwang Island which is an affiliated island in the southwest corner of West Island. It has an uncultivated natural scenery and is more quiet and pleasant.",None Related
87,Zhangjiajie National Forest Park,"Zhangjiajie National Forest Park is the main attraction of Zhangjiajie. It is famous for its sandstone landforms, precarious peaks, limpid streams, dense forests, and large karst caves. More than 3,000 mountain peaks of various shapes are congregated here in the park, forming a spectacular scenery. The park was thrust into foreign travelers' eyes after the booming success of the movie “Avatar”, in which the Hallelujah Mountains were inspired by the Heavenly piller of Zhangjiajie National Forest Park. The main attractions in the park are Yuanjiajie, Tianzi Peak, Golden Whip Stream and Yellow Stone Village. The mountains have peculiar shapes, often surrounded by fog and mist giving visitors a view similar to the drawings of a traditional chinese painting.",None Related
88,Gulangyu Island,"Gulangyu Island is a tiny island located on the estuary of the Chiu-lung River, facing the city of Xiamen. It is a Unesco World Heritage Site that used to be an important window for Sino-foreign exchanges during the 19th and 20th century. The island is a popular attraction for architecture enthusiasts, providing a mixture of different architectural styles including Traditional Southern Fujian Style, Western Classical Revival Style and Veranda Colonial Style. You can hike up the Sun Rock to overlook the whole island, take a walk in the Shuzhuang Garden (including the Piano Museum) which is one of the finest Jiangnan classical gardens, visit the Hao Yue Garden containing architectures from the Ming Dynasty (including a statue of national hero Zheng Chenggong), the organ museum, and the international letter carving art museum. Don't forget to send yourself a postcard from the future at local stores!",None Related
89,Chimelong Safari Park,"Chimelong Safari Park is part of the Chimelong Tourist Resort. Located in Guangzhou's Panyu, it is China's first and Guangzhou's only ""AAAAA"" grade scenic area. It is also the filming location of the famous reality show “Dad, Where Are We Going”. The park spans over 2000 acres of land including a large section of undisrupted Southeast China subtropical rainforest making it the largest eco-zoo in China. The park contains many wild animals from all over the world, of which many are rare species. It is a great place for family trips, there are plenty of animal performances in the park, and there is also a park zone designed specifically for children. It's a lot of fun!",None Related
90,"""The Song of Everlasting Sorrow""","""Song of Everlasting Sorrow"" is a historical drama adapted from the poem of the famous Tang Dynasty poet Bai Juyi. The drama describes the love story between Emperor Tang Xuanzong and his concubine Yang Guifei during the Tang Dynasty. The performance venue is in Huaqing Palace, a famous scenic spot in Xi’an, and the famous Mount Lishan serves as the background of the performance. By means of mountain and river scenes, classic music and dance, narrative poem, high-tech lighting, acoustics and special effects, ""Song of Everlasting Sorrow"" gives the audience a chance to travel back in time to appreciate the love that happened at the foot of Lishan Mountain and the bank of Huaqing pool 1000 years ago, and experience the culture of the flourishing Tang Dynasty.",None Related
91,Huaqing Pool,"The Huaqing Palace on the outskirts of Xi'an has been a hot spring bathing resort since ancient times and was also where the Xi'an Incident took place. During Emperor Xuanzong's reign in Tang Dynasty, it was a bathing place for the royal family and court ministers. Now, you can visit the royal pools of Tang Xuanzong and Yang Guifei, named Lotus Pool and Haitang Pool respectively. In 1936, the Xi'an Incident took place and changed China's destiny. In the southern part of the scenic spot, the “five halls” of Chiang Kai-shek’s old residential site were preserved intact, and the bullet marks of the fierce battle are still left on the walls.",None Related
92,Jiuzhaigou Scenic Area,"Jiuzhaigou is located in Sichuan's Aba Prefecture. The place got its name because nine villages are located in this valley. Like a world from the fairy tales, Jiuzhaigou is renowned for its water landscapes. There is a saying that after visiting Jiuzhaigou, you will not see any better water landscapes elsewhere.  In some areas of Jiuzhaigou, the elevation is relatively high. Some tourists may experience altitude sickness. When visiting, please do not engage in vigorous exercise.",None Related
93,Huangguoshu Waterfall,"The Huangguoshu Waterfall was a filming location for the 1986 television production Journey to the West. It gets its name from the “huangguo trees” that grow along the riverbanks. The waterfall is surrounded by lush vegetation, gorges, limestone caves, stone outcroppings, and rock pillars in a classic karst landscape. Centered around Huangguoshu Waterfall, 18 unique waterfalls line this stretch of river. Known for their power, strength, treacherousness, and beauty, they comprise one of the world’s great groups of waterfalls.",None Related
94,Mount Hua,"Mount Hua(Huashan), one of China's five sacred mountains is located in Western China, in the territory of Huayin City, 120km away from Xi An. The mountain has five main peaks —a North, South, East, West, and Center. It has a Plank Walk located at South Peak that is considered by many to be one of the most dangerous hikes in the world. Hikers who challenge it will have to traverse paths made up of narrow planks of wood bolted to the side of a cliff, 2000 feet in the air. Even though there are harnesses attached to all hikers challenging the path, the experience is still one of the most thrilling on earth! Besides that, the mountain is also famous for its narrow pathways and steep stairways. If you are someone that is looking for a challenging hike, Huashan is definitely one of the toughest available out there. Just make sure that safety is your utmost priority. Watch your steps and stay alert during the hike!",None Related
95,Badaling Great Wall,"The Great Wall of Badaling in Yanqing, Beijing, is a pass for the Ming Great Wall. As the saying goes, ""you are not a hero until you reach the Great Wall"". Most locals take this spot to be the start of the ascent of the Great Wall. The Badaling Great Wall is the most complete section among the various great walls in Beijing. The total length of this sectionn is 7.5 miles (12 kilometers) with 43 watchtowers, however only 2.3 miles (3.74 kilometers) and 19 watchtowers have been restored and opened to visitors. Compared with other sections, most stairs are not very steep and they are equipped with handrails, so it is a relatively easier climb.",None Related
96,Fortifications of Xi'an,"Xi'an City Wall is a landmark of this ancient city. The city walls that we see now were built in the early years of the Ming dynasty and they are now more than 600 years old. The walls were built on the foundations of the imperial city of the Tang Dynasty and they are formed together with a series of defensive installments such as moats and turrets. At present, Xi’an City Wall can be accessed by many city gates. Visitors can choose the nearest one to them. The South Gate is the visitor entrance of Xi’an City and is also the city gate with more tourists. Cycling on the ancient walls is a good experience. Riding on the wall overlooking the ancient capital of the thirteenth dynasty, you will have a feeling of travelling through time.",None Related
97,Tianmen Mountain,"Tianmen Mountain National Forest Park is named after the natural wonder “Tianmen Cave”. Tianmen Cave is not actually a cave but a hole in the mountain that formed naturally. It is often filled with fog so climbing the steps to reach Tianmen Cave will give a feeling of ascending into the heavens. During the cable car ride, you can overlook the 99 winding roads and beautiful mountain scenery. The bold can also take a walk along the glass skywalk and experience the thrill of ""walking on air"".",None Related
98,Yalong Bay Tropical Paradise Forest Park,"Yalong Bay Tropical Paradise Forest Park is a park unique for its tropical rainforest. It is also the main filming location for the movie “If You Are the One 2”. Here, you can trek through the rainforest, enjoy the company of a variety of orchids, walk on the bridge where Shu Qi once walked, or climb up to the hill overlooking the Yalong Bay to enjoy the magnificent view.",None Related
99,Dujiangyan Irrigation System,"The Dujiangyan Irrigation System is located along the main branch of the Lancang River, west of Dujiangyan City. It was constructed in the Qin dynasty around 256 BC by Li Bing, Prefecture Chief of Shu County, and his son. It is one of the few ancient Chinese water conservancy projects that has remained preserved and intact. The project consists of three primary works—Yuzui Diverting Embankment, the Feishayan Spillway, and the Baopingkou Water Inlet, and two secondary works which include the Baizhangdi (the thousand-feet dam) and Renzidi (the y-shaped dam). They divide the Yongjiang River into an outer and an inner branch, the former of which is used to divert floods and the latter for irrigation. This has allowed the Western Sichuan plateau to become ""the land of abundance"" as we now know it.",None Related
100,Jade Dragon Snow Mountain,"Jade Dragon Snow Mountain is not far from the ancient city of Lijiang. It is a sacred mountain range of the Naxi people and has 13 interconnected peaks with a breathtaking view. You can take a cablecar up the mountain while observing the vegetation changing from bottom to. The foot of the mountain is a ranch. During the spring season, there will be a large number of flowers blossoming. The Yunshan Ping on the mountain side is regarded by the Naxi people as a romantic place. The of the mountain is covered in snow all year round, and you can absorb the glorious sight of the glaciers when you are up there.",None Related
101,Aquaventure Waterpark,"Aquaventure Water Park is a large water park at the Atlantis Hotel in Sanya. There are 15 large slides in the park, as well as a “water fun” playground that is ideal for families with young kids. The most challenging slide is called ""The Leap of Poseidon"", which drops down an almost vertical slide of 25.1 meters and passes through a shark pool tunnel. It is very exciting to feel the shark swimming around you.",None Related
102,Sanya Atlantis Resort,"Sanya Atlantis Resort is located on the national coast of Haitang Bay in Sanya. It is themed with the mystery of the disappearing Atlantis continent and provides a variety of entertainment and recreation projects. The world enjoys sunshine, splashes and endless joy! The Lost Chambers Aquarium begins a magical adventure and discovers the mysteries of the deep ocean. The Atlantis Dolphin Bay is a habitat home for dolphins, sea lions and other marine mammals carefully built by an international professional design team.",None Related
103,Chengdu Research Base of Giant Panda Breeding,"The Chengdu Research Base of Giant Panda Breeding is located in the northern suburbs of Chengdu, about 10 kilometers away from downtown Chengdu. The facility is famous for the protection and breeding of endangered wild animals that are unique to China. It simulates the natural habitat of the giant pandas, and has lakes, streams, bamboo forests and lawns.  The chance to come into close contact with the giant pandas is a highlight here. Visitors can have a close-up observation of the pandas' living conditions. There is also a ""Panda Villa"", which is a restricted area for the pandas to rest.",None Related
104,Wuzhizhou Island,"Wuzhizhou Island is a neighbouring island close to downtown Sanya that has magnificent scenery.The sea water there is crystal clear and teeming with marine life. The island is a well-known diving spot and it is also a good place for water activities such as Jet Ski rides, parasailing, and a banana-boat cruise. Wuzhizhou Island is well-developed and well-equipped with resort villas, bars, and seafood restaurants. You can stay here for one night to enjoy the beautiful scenery.",None Related
105,Hong Kong Disneyland,"The heritage of the Walt Disney Company is alive and well at Hong Kong Disneyland. Different from any other Disney property on the planet, Hong Kong Disneyland Resort prides itself on offering a diverse and culturally distinctive Disney experience for guests of all ages. The park is divided into several ""lands"" (themed areas). These include Adventureland, Grizzly Gulch, and Toy Story Land. Throughout the park there are countless restaurants and shops. Disney strives to have something for everyone and it is little wonder why this is one of the most popular attractions in Hong Kong.",None Related
106,Emperor Qinshihuang's Mausoleum Site Museum,"The Museum of Qin Terracotta Warriors and Horses, also known as the Terracotta Army, is located about 1.5 kilometers east of the Mausoleum of the First Qin Emperor and forms part of the extensive necropolis. There were more than a thousand terracotta soldiers unearthed here, each with a different facial expression. Standing before the massive underground army, you will feel the extraordinary might of the Qin Emperor that enabled him to unify six warring states two thousand years ago. The Qin Emperor Ying Zheng began building the mausoleum for himself at the age of 13. Nearly 720000 men and 38 years were required to complete this vast project.",None Related
107,Shanghai Disney Resort,"As the first Disney resort in mainland China, Shanghai Disney Resort is a world-class family entertainment destination. It features Shanghai Disneyland Park, an entertainment district, two themed hotels, recreational facilities, a lake, and associated transportation hubs. One unique aspect about Shanghai Disney is the way the park incorporates Chinese tastes into its design. With plenty to do and fun for people of all ages, the Shanghai Disney Resort is certainly one of the city’s premiere attractions.",None Related
108,The Palace Museum,"A vast majority of tourists who visit Beijing for the first time consider the Forbidden City as a place they must see. The Forbidden City, known as Gugong in Mandarin, once served as the imperial palace for 24 emperors during the Ming and Qing dynasties. It is a symbol of ancient China. Although it is no longer China's political centre, you can still feel its former glory once you are within the courtyard and surrounded by the high walls. Its long history has left behind a large amount of precious architecture and cultural relics, making it one of the most important cultural heritage in modern China.",None Related
109,Universal Beijing Resort,"Universal Beijing Resort is a highly anticipated theme park destination, including the largest Universal theme park, Universal City Avenue Beijing, and two resort hotels. Universal Beijing Resort combines Chinese cultural elements to create a unique experience. It has seven themed scenic spots, 37 rides and entertainment facilities and landmark attractions, 24 performances, 80 food and beverage outlets and 30 retail outlets.",None Related
110,Hall of Mirrors,"The Hall of Mirrors is the hall of the Palace of Versailles, with 17 huge floor-to-ceiling glass windows facing the garden on one side, and a huge mirror composed of more than 400 mirrors on the other. The floor of the hall is carved wood, the walls are decorated with lavender and white marble veneer, and the columns are green marble. The capitals, bases and parapets are all gilded brass, and the motif of the decorative motif is the sun with its wings spread out in homage to Louis XIV.",None Related
111,Big Bus,"Explore the city's sights at your own pace with this free hop-on bus tour of Paris. Enjoy Paris sightseeing tours and discover the Eiffel Tower, the historic sites of the Louvre, the impressive Arc de Triomphe and more. This unique city tour includes over 50 Paris tourist attractions. Experience beautiful avenues, stunning architecture and picturesque views on an open-air bus ride. Hop on and off the bus at your leisure and customize your city tour. The tour includes an informative and entertaining guided tour that guides you through the city.",None Related
112,Grand Palais,"Located on the Champs-Elysees, the Grand Palais was built to welcome the International Exposition in Paris in 1900, with Place de la Concorde to the east, the Arc de Triomphe to the west, and the beautiful Pont Alexander III on the Seine to the south. The Grand Palace was once closed for renovation and reopened in 2005, mainly for short-term major cultural events such as art exhibitions and fashion shows. There are two-story ring corridors around the hall, leading to 58 exhibition halls. The Antique Biennale, held every September in even-numbered years, has been held in the reopened Grand Palais since 2006. Since its inception in 1956, this exhibition has been successfully held for 22 times, and the six times before 2006 were held in the Louvre. The west wing of the building is the Palace of Discovery. The Palace of Discovery was established in 1937 with the goal of giving people a grasp of the methods of scientific research. Visitors can conduct their own science experiments and learn about the fundamentals of physics, chemistry, biology, astronomy, medicine and information technology.",None Related
113,Lake Annecy,"Lake Annecy is located in Haute-Savoie, France, at the foot of the Alps, and is second only to Lake LacduBourget in France. Due to strict environmental management measures implemented in the 1960s, Lake Annecy is known as the clear lake in Europe. Lake Annecy has become a popular tourist destination for its famous water recreational activities. Lake Annecy was formed 18,000 years ago during the melting of Alpine glaciers. Many small rivers originating from the surrounding mountains stretch for more than ten kilometers into Lake Annecy, which provides sufficient water for Lake Annecy. Walking and cycling on the shore of Lake Annecy, or swimming and boating in the lake, overlooking the rolling Alps in the distance, is undoubtedly one of life's great joys. The French Enlightenment thinker Rousseau once spent ""the good 12 years"" of his life in Annecy.",None Related
114,Hôtel de Ville,"The Hotel de Ville was finished in 1628, nearly a century after construction began. Currently, it houses the City of Paris's administration. The building's style is a contemporary interpretation of the Renaissance, a grand building sitting just a few minutes from the Seine. The regal inside includes crystal chandeliers and extravagant paintings. Its exterior is equally stunning, particularly at night, when the building shines with light.",None Related
115,Van Gogh Cafe (Cafe La Nuit),"Because Van Gogh created a lot of works closely related to this small town during the years he lived in Arles, many buildings here have become attractions to commemorate the painter, and the Van Gogh Cafe is one of them. This is the location where Van Gogh's famous painting ""Cafe at Night"" was filmed, and it still retains the exact same appearance as the painting back then. Although it is still a cafe, because it is an attraction in itself, its consumption is not low. If you want to drink a cup of coffee here, you still have to have a sufficient budget to prepare.",None Related
116,Parc du Champ de Mars,"Champ de Mars is a vast strip park located in the 7th arrondissement of Paris, France, between the Eiffel Tower and the Paris Military Academy. It was also the venue for events such as the Universal Exposition, the 1900 Olympics, and open-air concerts. It is separated by the Eiffel Tower from the Chau Palace, and the whole is like a background painting. The name of the park comes from the Roman Forum, ""Mars"" in French is the so-called god of war in Roman theology. Historical background Until the 17th century, the park was the site of early potato cultivation in Paris. By the middle of the 18th century, a military school for training soldiers was established here. This vast land has become the training ground of the military school, that is, the military training ground. During the French Revolution, there were also massacres and bloodshed here. Experience the romance of Paris Now this is where many locals and tourists picnic and stroll. The French will sit or lie on the lawn in various poses to rest and bask in the sun. Children will play football there. Couples will sit on the grass and talk about love. It can be said that this is the place to experience the romance of Paris. A good place for emotions. Various concerts are also held regularly in the park. It's also a great place to take photos with the Eiffel Tower. Standing in front of the Champ de Mars, the tower looks great from any angle, against the green grass and the surrounding manicured trees. In addition, the Champ de Mars at night is also more shining because of the Eiffel Tower, and many photography enthusiasts will also come here to shoot the night view of the Eiffel Tower.",None Related
117,Ile de la Cite,"Ile de la Cité is one of the two islands located in the Seine River in Paris, France (the other is Ile Saint-Louis). It is the geographical middle of Paris and the historical birthplace of Paris. The famous Notre Dame Cathedral, Sainte-Chapelle and Conciergerie are all located on the island. Attractions on Xidai Island If you take the subway to Xidai Island, the subway entrance is on the north side of the island, and you can see the Paris Court and the Paris Prison not far away. Visitors with a pass can consider entering the prison. Opposite the ancient prison is the Sainte-Chapelle. Although this Gothic building is small as a whole, it has a unique beauty of tranquility. The interior decoration is very delicate, the stained glass on the second floor is more exquisite than Notre Dame Cathedral. When the light came in from the window, the ground was covered with beautiful large spots of light. Visitors with a pass can enter directly without queuing. After leaving Sainte-Chapelle, you can go straight to Notre-Dame Cathedral. Most of the tourists who come to Xidai Island come to the famous Notre-Dame Cathedral, which is famous for its Gothic architectural style, carvings and paintings on the altar, cloister, doors and windows, etc. Famous for a large number of art treasures from the 13th to 17th centuries, there are many people queuing up to the top. Although the stairs to the bell tower have 400 floors, and walking is very labor-intensive, the scenery you see after waiting for 2-3 hours in peak season is still Make you feel worthwhile. Many people say that the clock tower during the day and the Eiffel Tower at night are what you must experience. On the other side of the Seine, the Paris City Hall and Notre Dame are across the river. On the small square in front of Notre Dame, a passage and a high stand were erected, and the steps were always full of people, enjoying the performances of the artists.",None Related
118,Palace of Festivals and Congresses of Cannes,"The Palais des Festivals (Palais des Festivals de Cannes) was built in 1982 and is an important meeting place for the Cannes Film Festival. The Palais des Festivals has a capacity of 30,000 people, excellent sound facilities, and besides being the official venue of the festival, it also contains many business conference halls. It is said that the carpet on the steps of the Palais des Festivals is red only when there is an event, and blue at other times. So if you come across a festival, don't forget to take pictures on the steps covered with red carpets to experience the taste of being a star. Visitors still have a better chance of seeing a red carpet than a blue one, as the Palais des Festivals is not idle for most of the year. Every year, there is the Acacia Festival in February, the International Film Festival in May, and the Music Festival and Fireworks Festival in July. In addition, there are fixed festivals such as the International Boat Festival, the International Music and Record Festival, the Mimosa Festival, and the Dance Festival. Under such a dense schedule, if you want to use the Palais des Festivals, you need to book two years in advance.",None Related
119,Chamonix,"Chamonix is surrounded by the stunning French Alps, which bear a striking resemblance to the Himalayas: deep-cracked glaciers stretch from the snow-covered summit of Mont Blanc to the valley floor 4.8 kilometers apart. Due to the local special geographical environment, Chamonix has become a paradise for many snow sports lovers. In 1924, the first Winter Olympics were held here. Now, with the passion of snow sports, Chamonix has become a famous tourist city in France, bringing many tourists unexpected happiness and comfort.",None Related
