Country,Place,Details,Class,WordCountBeforeCleaning
Malaysia,The National Museum of Malaysia,national museum malaysia kuala lumpur main museum malaysia minangkabau style classical malay building showcase change related artifact different era malaysia two giant mural depicting cultural history malaysia embedded wall side entrance painting meter long meter high mural left depicts overall situation manufacture various handicraft malaysia mural right depicts various historically important scene hindu hindu buddhist era northern malaysia century independence malaysia corridor fountain outside park landscape historical building around sit corridor mosquito bite exhibit museum include chinese porcelain unearthed johor rama area century ming porcelain specially made muslim century well material shadow puppet malaysia country copy document describing ming dynasty navigator zheng visit malacca taste addition locomotive classic car antique malay palace exhibition area picture museum volunteer guide free language english french japanese,None Related,237
South Korea,Hanwha Corporation,industrial robot developed hanwha work diverse sector ranging automotive pharmaceutical automotive industry robot assist part manufacturing assembly quality control pharmaceutical industry well food cosmetic robot able pack load perform action,Robotic,51
Korea,YG Entertainment,yg entertainment largest entertainment brokerage company korea entertainment company hiphop singer korea founded yang hyun suk member disbanded popular group seo taiji child representative artist include psy uncle bird bigbang winner epikhigh ikon blackpink crystal boy lee jong suk goo hye sun lee ha yi music tong musician nam joo hyuk lee sung kyung etc,None Related,85
Malaysia,Penang Street Art,year ago tourist came penang find kind food tourist come find famous mural iron sculpture cartoon historical area queuing picture become item tourist come year ago ernest zacharevic lithuanian artist came street penang first unintentional backpacking trip expect become creative base even unexpectedly gave penang old street different vitality past mural work art mirrorsgeorgetown order coincide penang celebration anniversary george town entry world cultural heritage penang art council listed george town mirror celebration activity officially celebration work life displayed front u penang mural scattered street alley george town walk around street according map connect scenic spot mural design reasonable play route enough time choose ride bicycle tricycle cost renting bicycle yuan day cost tricycle ringgit hour advantage rickshaw driver local relatively familiar mural save time play tour guide whether everbright building surname bridge love lane good sightseeing route present mural iron sculpture cartoon george town distributed street lebuhchulia lebuhahquee lebuhvictoria lebuharmenian ernest zacharevic mural photo old man lebuharmenian street first work fresco begun fade due age copy sister brother riding together street picture older sister skilled driving take excited nervous younger brother bicycle know go tourist put action pushing back seat bicycle action actually riding bicycle behind interesting addition several work broken heart love lane kung fu girl lebuhmuntri boy chased wind lebuhahquee street resting tricycle driver penangroad wait today addition original mural chinese painter chen yukang created art work cat together lost cat organization addition penang sign george town project us iron sculpture mural tell legend old street life citizen total iron plastic cartoon sign george town project work sculptureatwork local art group sign george town project competition long walk street penang always find vivid interesting cartoon add childishness nostalgic penang,None Related,573
Malaysia,National Mosque of Malaysia,national mosque near kuala lumpur main railway station national mosque host religious ceremony sits acre garden architecture mosque different typical domed style malaysian mosque focal point tall pointed minaret contains reflecting pool fountain near center complex dotted flower tree,None Related,76
South America,Torres del Paine National Park,torres del paine national park southern chile selected national geographic place lifetime famous beautiful lake numerous glacier soaring granite peak park translated qingta national park word paine come indian word blue named entire national park surrounded blue glacial fjord lake landscape main attraction park include torre tower cape torre glacier lake well lagogrey glaciergrey iceberg torres del paine national park transition zone magellan forest patagonian steppe biodiversity level high park home two hundred specie plant consists four vegetation zone patagonian steppe scrubland magellanic subterranean forest andean desert addition park known protection wild animal specie home rare specie scorpion cougar red fox,None Related,183
France,The Basilica of SacrÃ©-CÅur de Montmartre,basilica sacred heart paris command height montmartre well paris famous landmark quintessential symbol montmartre architectural style interesting mixing design curved white dome rather oriental form pure white exterior particularly mosaic interior dome even amazing visitor climb spiral staircase basilica dome rewarded spectacular panoramic view northern paris,None Related,91
France,Louvre Museum,charm location movie phantom louvre da vinci code gorgeous treasure ancient greece ancient rome ancient egypt giant glass pyramid combine classical palace modern architectural style louvre museum founded castle undergone expansion converted museum french revolution known three major museum world together british museum london metropolitan museum new york today louvre museum collection item spanning year louvre museum usually display total collection feast eye three treasure louvre venus de milo mona lisa winged victory samothrace gallery antiquity replaced royal apartment display masterpiece greek sculpture including famous venus de milo would need heart stone moved grace aphrodite amphitrite first arrived louvre suggested missing arm restored idea eventually abandoned fear changing nature lack arm made hard identify statue depiction greek god goddess contain clue identity form object natural element held hand sculpture pose problem sea goddess amphitrite particularly worshipped island melos aphrodite goddess beauty might suggested sensual body second argument jewellery wore tipped scale favour aphrodite roman another possible clue found near statue hand holding apple attribute aphrodite carved parian marble famous portrait world show lisa gherardini wife florentine silk merchant francesco del giocondo hence italian name la gioconda french name la joconde painted distant landscape stare u famously enigmatic smile theft centuryon august panic broke mona lisa disappeared news spread like wildfire generous reward promised return vain nothing heard painting two year day vincenzo peruggia glazier worked louvre tried sell famous painting italian art dealer alerted authority mona lisa recovered fame greater seems float air placed height could afar made offering god sanctuary greek island samothrace placed height could afar nod original lofty home adorns top daru staircase nike winged goddess herald victory seen alight monumental staircasethe daru staircase perfect setting extraordinary display six grand staircase second empire century architect hector major work underway expand louvre make former palace already partially transformed museum emperor napoleon iii new wing make room showcase art old staircase uncle napoleon longer adequate access thing left time ceiling leading italian painting collection name daru minister napoleon lefuel took challenge design new monumental space three level leading four different direction visitor could choose way go winged victory samothrace placed new home upper landing year statue discovered,None Related,722
United States,Tendeg,help organization communicate better deployable space antenna technology antenna deployable structure sensor application communication line meant commercial governmental use company mission include leo geo lunar communication synthetic aperture radar earth science,Aerospace,45
Korea,Myeong-dong,commercial district korea combine food beverage kind entertainment includes wide variety store small vendor selling small commodity food either side street festival held spring autumn well miss pageant folk game traditional wedding ceremony fashion show plenty attraction,None Related,69
United States,Rapid Robotics,make robotic solution manufacturing context flagship offering rapid machine operator robotic machine operator marketed automation solution bare bone robot set maintained rapid robotics available monthly subscription work major manufacturing sector electronics medical device,Robotic,56
France,Promenade Des Anglais,english promenade british colonist nice whole site kilometer away next bay angel connecting nice airport castle hill avenue adorned palm tree year round lined boutique luxury hotel side century large number briton chose nice bay angel holiday destination escape harsh winter lewis wei englishman initiated social fundraising pedestrian street meter wide time avenue named anglais british name avenue,None Related,115
France,Lyon Old Town,lyon old town right bank river foot fourviere mountain fishing village ancient time century became largest silk production area world century economic cultural center france stroll old city travel back middle age today still old building century medieval renaissance classical house connected street paved cobblestone walking seems back middle age boutique handicraft store restaurant cafe along street forget look building street shopping colorful little house bright drain stone carving carved window lattice give old town charm main attraction recommended cathedral visit old city lyon may wish start cathedral saone facade church gorgeous spire gothic style entrance decorated square ornate square relief astronomical clock north wing church ring bell noon little clock come appear international museum miniature film art avenue far cathedral small exquisite museum contains variety miniature film scene world like stepping country lilliput interesting lyon city puppet museum lyon city puppet museum north old city popular complete collection puppet world visiting break museum garden cup coffee experience long history city creative market art market fall sunday go creative market art market east puppet museum de et artisanal sunday morning artist lyon gather sell work painting sculpture handicraft like home cradle lyon birthplace christianity lyon path winding upwards mountain ropeway mountain starting edouars commette square mountain prayer birthplace christianity house baroque church lady fourviere century well lyon roman theatre culture museum terrace top mountain good place overlook panoramic view city peninsula area gather middle two river good place enjoy night view night authentic lyon traditional restaurant bouchon old town lyon traditional dish mainly pork eat authentic lyonian dish euro including salad lyonnaise pork sausage saucisson pig water andouillettestripes,None Related,590
United States,Boston Dynamics,spot robot look like ai dog robot inherent sense balance product ai style company refers spot used industrial inspection allowing customer use robot remotely navigate terrain might difficult hazardous,Robotic,55
Portugal,Navagio,shipwreck bay northern west coast zakynthos island scenic spot island chinese popular korean drama descendant sun filmed bay named wrecked ship ran aground beach entire shipwreck bay overlooked hilltop viewing platform hundred meter high nearby cliff steep cliff surround white sandy beach three side surrounding sea water far near deep shallow showing three different level blue sapphire blue fluorescent blue cream blue beautiful fantasy fairyland beautiful scenery attracted filming crew descendant sun famous japanese animation master hayao miyazaki inside animation,None Related,146
United States,Kranze Technology Solutions,work defense industry develop aerial solution keep manned unmanned craft alert danger lie specializing infrared countermeasure system digital interoperability tactical networking program support kranze technology solution continues expand offering combat developing challenge provide maximum support protect life,Aerospace,54
Portugal,Mount Lycabettus,lycabettus meter sea level commanding height athens seen almost every place athens top lycabettus hill wide view good place overlook panoramic view city athens enjoy sunset weather clear overlook port peres western suburb athens gulf saronicus theatre hill stone church st george rock church restaurant view choose walk viewing platform top mountain recommend way cable car,None Related,121
Portugal,Livraria Lello,lello bookstore oldest bookstore porto portugal staircase designed architect estevez top floor bookstore food wine book portuguese english french everywhere since opening lello bookstore attracted large number reader good design beautiful wooden staircase center bookstore lead roof reader look sky degree glass roof bookshelf around stair filled kind good book making bookworm linger,None Related,107
Africa,Grand Baie,grand bay bay town north mauritius sea calm sandy beach delicate local snorkeling resort snorkel dive go sea chase dolphin topographical feature dawan named curved fjord north island harbor town important scenic spot north mauritius surrounded land three side blue water particularly quiet white bay sandy beach attracted countless tourist mauritius relax play sea water choose sit shore fishing lie beach chair close eye addition diving resort whether snorkeling diving suitable kind course plan go sea order whale watching dolphin chasing project shore completely relax body mind addition lively harbour market large supermarket shopping center dawan readily available bar specialty shop fully satisfy tourist petty bourgeoisie complex,None Related,229
Africa,Medina of Marrakech,old town marrakech known medina central area marrakech old mosque huge traditional market countless restaurant cafe spend whole day shopping local find rooftop cafe tourist enjoy sunset pot mint tea,None Related,64
Africa,Boulders Penguin Colony,town simon east coast cape town south small bay called boulder attraction south famous penguin home penguin sanctuary first two pair penguin later protection local resident number increased day day attracts everyone attention south penguin smaller among penguin specie black ring small black spot chest pink eye circle cute,None Related,103
Indonesia,Taman Safari Bali,exciting journey wilderness immersed diversified animal world including endangered specie amazing taman safari bali home thousand amazing animal finest destination adventurous fun educational experience safari park represents specie including rare endangered specie like komodo dragon orangutan bali starling bird discover magic animal kingdom veil darkness bali night safari experience unique nightlife adventure specially designed cage tram allowing observe animal close proximity even feed hand time taman safari bali front line wildlife conservation indonesia actively involved ensuring future survival indonesian animal specie,None Related,142
United States,Microsoft,microsoft released robot operating system ro window widely used platform provides robotics developer variety powerful library tool developing deploying robotics solution,Robotic,32
Germany,KUKA,industrial robot kuka robotics work across diverse range industry production manufacturing environment able assist room setting area low concentration particulate air task like semiconductor fabrication industrial robot able assist nuclear decommissioning radioactive environment dangerous task like handling sorting waste,Robotic,67
Switzerland,STAUBLI,staubli industrial robot combine small footprint increased speed precision scara robot specialize assembly packaging palletization articulated robot offer increased dexterity flexibility assist machine tending washing deburring polishing application industrial robot capable working aseptic environment pharmaceutical operation humid setting food beverage application,Robotic,63
Japan,Shinobazu Pond,shinobu pond ueno park center pond bentian dedicated goddess eloquence bird duck pelican large lotus flower growing pond summer entire pond surface covered lotus flower case rain heavy green drizzle water droplet lotus leaf add dynamic vitality spring cherry blossom full bloom although lake big enjoy pleasure boating water concert hall often hold various performance concert origin name engraved stone tablet shinobu pond past place ueno hongo terrace called ninja hill building distance shinobi pond said earlier building complex tokyo product left japan economy took together shinobi pond charming picture,None Related,179
South America,Amazon River,introduce come brazil must amazon river amazon jungle adventure amazon river originates peruvian andes flow atlantic ocean amazon delta basin total length kilometer measurement method river length unified still inconclusive longest river world amazon river nile river tributary flow country including peru bolivia colombia ecuador venezuela guyana river brazil want visit amazon rainforest mostly manaus set pier immediately wonder two tributary amazon must miss come various colorful rainforest exploration activity experience original style including visiting local tribe watching toucan watching macaw watching sloth watching water lily fishing piranha bone tongue fish travel jungle watch sunrise amazon river visit monkey island catch alligator get close personal pink dolphin local travel agency basically provide corresponding activity tourist choose according personal preference travel plan,None Related,222
Japan,Epson,epson develops manufacture line industrial scara robot model scara robot first designed year assemble seiko watch range reach millimeter millimeter today scara robot used taylor guitar helping guitar manufacturer increase production acoustic pickup day industrial robot design improves motion increase efficiency,Robotic,83
Japan,Ueno Toshogu Shrine,ueno prominent shinto shrine taito ward first established later renovated shrine remained mostly intact since making great example shinto architecture edo period shrine utilizes ornate gold decorative wood carving characterizing traditional japanese design major gate pillar hall quite provide excellent backdrop photograph shrine complex within ueno park great combine visit nearby akihabara asakusa,None Related,91
Poland,Molecure,molecure innovative biopharmaceutical company dedicated discovering developing commercializing novel therapeutic neoplastic inflammatory disease,Biotechnology,19
Switzerland,Alcon,pharmaceutical medical device company specializing eye care product known contibutions various area eye care including surgical pharmaceutical vision care company provides wide range product including surgical equipment cataract surgery intraocular lens pharmaceutical eye condition contact lens lens care product,Biotechnology,53
Korea,Hongdae Free Market,hongdae free market child park near hongik university dozen stall gather every weekend flea market seoul young korean artist display sell work treasure place citizen find unique creative daily necessity gadget diary fun doll cute hair accessory full fashionable design element creative market missed shopping near hongdae weekend addition park often wonderful impromptu street performance,None Related,100
Malaysia,Clan Jetties of Penang,surname bridge refer single bridge general term bridge back chinese went penang engage trade fishing lived sea bridge house forming unique small village surname live bridge called surname bridge house family sea bottom supported pile bridge laid wooden board street village connecting land hundred year later hut still exist next penang port watching ship come go continue write legend surname wang qiao lin qiao zhou qiao chen qiao li qiao miscellaneous qiao qiao yang qiao surname bridge survived day amid constant debate whether demolished,None Related,163
Portugal,Megalo Meteoro Monastery,meteora monastery spectacular building area listed world natural heritage site century higher rocky hill valley altitude meter unique church high cliff floating air make feel like pure land isolated world architectural pattern meteora monastery reflects status main monastery room skull deceased monk displayed clothes worn early monk collected group fresco martydom saint monastery,None Related,126
Africa,Fes MÃ©dina,medina fe old city fe establishment traced back end century idris dynasty established capital ad city rapid development hadid dynasty medina fe grown size today far fe medina still retains relatively complete city wall old city large largest medina morocco nearly alley old city narrow winding like labyrinth known city without car world donkey important mean transportation old city important tourist destination fe leather dyeing workshop blue gate boujlou university carouin distributed alley,None Related,152
Portugal,Syntagma Square,open city square fountain park bench watch changing guard ceremony hour,None Related,25
Korea,Leeum Museum of Art,museum contains traditional korean art contemporary piece two museum designed different european architect museum contains traditional korean art including piece designated national treasure include ancient dagger folk painting porcelain piece manuscript museum feature modern contemporary art korean international artist including andy warhol rothko damien hirst complex contains samsung child education culture center interactive museum child,None Related,80
United States,Acorda Therapeutics,biotechnology company develops therapy improve neurological function parkinson disease multiple sclerosis neurological disorder,Biotechnology,20
Malaysia,Oriental Village,foot gunungmatcincang highest mountain langkawi island oriental village resort combine shopping hotel spa various entertainment facility langkawi famous aerial cable car sky bridge addition filming location chow anna king drive langkawi airport oriental village center park garden east asian atmosphere shop selling traditional clothing handicraft lake middle park several good restaurant around lake taste delicious price reasonable try main purpose tourist coming dongfang village aerial cable car park longest advanced cable car world climb flat top mountain meter high buy lift ticket official website ticket window scenic spot cable car ca bring bottled water line cable car two station first station go cable car way top mountain mountain wind strong cable car swaying way cable car flyover open raining weather bad temperature mountain degree lower ground reaching top mountain two platform tourist overlook whole island high viewing platform peak meter sea level watch wild animal plant growing rain forest along way qixianjing waterfall langkawi reaching observation deck enjoy beauty whole island langkawi even island thailand courage walk across canyon sky commonly known sky bridge steel suspension bridge winding two hill world largest curved suspension bridge total length meter weather good dense wood foot clearly visible fog foggy feel like fairyland however mountain wind relatively strong still feeling shaking walking recommended timid afraid height try lightly sky shop send postcard price quite expensive addition cable car recreational facility dongfang village museum watching movie driving mountain buggy activity interested try addition shopping mall oriental village buy handicraft,None Related,529
Korea,Myeongdong Nanta,appreciate realistic interesting kitchen performance art dazzling presenting classic rhythm traditional korean tune samulo game stage art integrating acrobatics comedy percussion traditional folk song contemporary song watch talented troupe classic perform founded nanta first silent performance south korea first broadway performance asia far nanta performed performance city country region brought joy million viewer around world known chinese audience issue hunan satellite tv everyday upward program come korea experience charm nanta person miss nanta show us rhythm traditional korean melody bring interesting thing happen kitchen stage form comedy performance nanta show work composed solely rhythm beat situation language barrier make appreciated resonated age gender around world audience go stage participate performance come experience unique joy nanta actor first korea nanta show theater opened jeongdong seoul theater gangnam jeju island myeongdong hongdae opened becoming place domestic foreign audience,None Related,246
Portugal,Temple of Poseidon,sea temple commemorate poseidon famous sea temple cape sounion southeast athens southern tip attica peninsula kilometer away athens temple stand cliff meter high best place enjoy view aegean sea sunset cape sunu surrounded sea three side aegean sea left mediterranean sea front ionian sea right past athenian believed place better view suitable building temple god worship temple poseidon bc protect sailor going sea pray good weather destroyed byzantine emperor arcadios bc climbing hillside west side parking lot cape sounion charming style temple like temple greece temple poseidon rectangular meter long meter wide marble column total preserved stone column meter high adopt doric style temple agriculture similar relief decoration stone pillar depict scene battle god original relief currently collection acropolis museum poet byron visited greece century carved name column temple tanah lot location construction design temple poseidon make conspicuous sea visible naked eye distance gave great help ancient ship returning sailor rely identify direction missed poseidon sea temple beautiful sunset landscape blue aegean sea looking gorgeous sunset looking ship dotted distance beautiful,None Related,360
New Zealand,Auckland Zoo,auckland zoo zoo new zealand west albert park design park good paradise photographer six themed ecological area new zealand animal display area divided six themed ecological area namely beach island wetland nocturnal animal forest mountain kind local foreign animal park common animal elephant giraffe lion rare animal white rhino lemur among kiwi kiwi famous due degenerated wing fly life span reach year unique specie new zealand national bird symbol new zealand close contact animal attractive point tourist get close contact animal giraffe parrot,None Related,159
Malaysia,Sabah State Museum,sabah museum prestigious museum sabah record display sabah rich historical social natural history main building museum adopts shape longus longhouse beam extending outwards roof resemble somasau dancer outstretched arm perfect place looking delve sabah rich historical social natural history addition cultural village near main body museum quite distinctive imitates traditional residence characteristic aborigine sabah house tourist enter room hall visit explore even real demonstrate daily life use tool,None Related,120
New Zealand,Lake Tekapo,lake tekapo christchurch queenstown heart mount cook basin mackenzie small town south side lake sparsely populated mountain distance covered snow like paradise mysterious beauty lake tekapo lake tekapo famous mysterious beauty color lake due melting glacier southern alp lake rock glacier broken fine powder color lake appears navy blue creamy white surrounding attraction walk along lakeside trail breathe fresh air feel embrace nature enjoy beauty lake small shepherd church lake complete stone church overlooking entire lake tekapo commemorate pioneer sitting church overlook lake tekapo southern alp distance window far church statue shepherd dog tribute faithful friend highland shepherd best place watch star area around lake tekapo best place watch southern cross every year large number starry sky lover go watch star night shoot star trail mysterious southern hemisphere star tourist northern hemisphere especially winter high chance witnessing aurora time permit might well choose spend night shore lake tekapo enjoy wonder star surrounding supporting service complete several cafe casual restaurant nearby tourist souvenir shop indispensable playing cup coffee casual light meal beautiful scenery accompanied lake view better,None Related,354
Africa,Baie du Tamarin,come mauritius must choose go sea greater pleasure going sea dolphin dolphin bay tamarin town west coast mauritius surrounded mountain beautiful scenery want dolphin must speedboat speedboat find dolphin turn head keep dolphin close addition several company offer swimming service wild dolphin luxury resort small town dedicated dinghy guest shoe need taken boarding ship collected crew stored several box barefoot set foot cleaned ship speedboat left pier sailed towards middle sea weather good time water sparkling boat sailed farther farther color water changed green sapphire blue dark blue arrive bay need wait dolphin appear generally dolphin predation stage time probability seeing dolphin bottlenose dolphin mao island best place world get close personal bottlenose dolphin common specie dolphin little gray creature live warm water named elongated snout swim fast said dolphin generally swim speed kilometer per hour reach kilometer per hour faster however speed maintained last short time bottlenose dolphin breathe water jet head get surface every minute breathe dolphin appeared around began cheer cheer whole dolphin bay filled joy dolphin always near far boat keep chasing dolphin whenever dolphin swim front boat boat excited exclaimed constantly dolphin often respond exclamation jump water happily even nice front flip dolphin sprang water time time exclaiming another group dolphin happily swimming sea wave time jump water swim sea chasing sea wisp sun beam shoot sea front look like palace brilliant golden wall seabed ten meter deep covered coral hundred dolphin swim group within field vision sea breathe sink bottom sea wonderful interaction dolphin seen constantly swimming interacting diver afraid human friendly visiting dolphin speedboat back shore next attraction,None Related,571
Korea,Sealala Water Park,sealala water park loox store yongdeung seoul largest water park seoul various water facility concept greek island santorini full romance playing water like playing resting vast mediterranean sea enjoy beautiful happy time park variety themed swimming pool flowing pool beach pool child pool addition floral bath lavender cherry blossom mint rose healthy bath use charcoal bath salt loess material beneficial body prepared customer good place relax center seoul,None Related,130
Africa,Sidi Bou Said,kilometer north tunis blue white town beautiful town mediterranean atmosphere eye tunisian blue symbolizes peace house two color white wall blue door window cottage blue window white house blue white small character town simple romantic make suitor paradise blue white town wind mountain simple layout street white house shining sun side alley sticking house house two three story high make feel fairy tale blue iron window blue wooden door inlaid white wall arabesque scroll displayed iron window lattice symmetrical dreamy blue copper nail door star moon well bow arrow flower pattern combined gorgeous exquisite walking romantic beautiful town might well find coffee shop listen footstep time le de nattes famous coffee shop blue white town coffee shop painter mache painted viewofa mosque layout changed cafe middle town easy tourist find sit indoors store spread straw mat stair guest sit called straw mat cafe cafe offer strong coffee complete portion half cup usually mint tea sweet greasy layer pine nut floating small town jasmine national flower tunisia men blue white town like hang bunch jasmine flower behind ear said jasmine bloom half year young old traditional costume often string flower string insert large straw tray walk around street sell tourist forming beautiful scenery interested may wish buy bunch jasmine flower hang chest behind ear surrounded refreshing fragrance come food fried doughnut blue white town worth try crispy doughnut wrapped white sugar fragrant sweet although blue white town big look blue tender mediterranean sea beautiful scenery enthusiastic resident romantic exquisite blue white cottage everywhere worth coming worth spending day forgetting hustle bustle city enjoying quiet time,None Related,518
Japan,Dotombori,southern end shinsaibashi dotonbori bustling business district famous neighboring theater commercial entertainment venue birthplace osaka cuisine japanese often say eat osaka show restaurant huge billboard side river exaggerated attractive shape among big crab signboard glico signboard kani crab place tourist photo night neon light flashing sightseeing boat enjoy night view city,None Related,107
United States,SVT Robotics,svt robotics tout softbot platform solution efficiently deploying robot automation iot device company say platform reduce operation cost well speed onboarding time,Robotic,33
Denmark,Blue Ocean Robotics,blue ocean robotics produced robot aiding response worldwide uvd robot autonomous mobile robot us light kill virus bacteria patient room minute,Robotic,40
Italy,EnGenome,combining artificial intelligence acmg amp clingen guideline evai classifies prioritizes genomic variant pathogenicity suggesting possible genetic diagnosis,Biotechnology,23
United States,Amgen,focus area high unmet medical need leverage expertise strive solution improve health outcome dramatically improve life biotechnology innovator since amgen grown world leading independent biotechnology company reached million patient around world developing pipeline medicine breakaway potential,Biotechnology,61
United States,Nuro,nuro drive robotics technology forefront everyday life developing technology help make efficient use resource time attention flagship product line fully autonomous vehicle made transport good quickly safely affordably bolstered flexible interior design handle errand ranging picking dry cleaning delivering grocery,Robotic,61
Japan,Fuji-Q Highland,check thrilling roller coaster check labyrinth fear ride ride enjoy roller coaster iconic mount fuji background highland japan popular amusement park fuji five lake region foot mount fuji best known thrilling roller coaster elaborate themed ride attraction park strives forefront theme park entertainment constantly opening new ride attraction including guinness world record breaking roller coaster enjoy view mt fuji fall roller coaster large ferris wheel height enjoy feeling floating foot away earth refreshing feeling turning wind fantastic scenery swaying group,None Related,153
South America,Ipanema Beach,ipanema beach two beach rio de janeiro birthplace bossa nova song girl ipanema garotade ipanema birth copacabana ipanema famous beach rio visit two beach rio like hero go great wall running cycling playing football surfing sunbathing every day weather fine watch sunset reef aropoador east ipanema beach copacobana beach sunset sank magnificently deep sea little glow left surroundings dim like farewell,None Related,130
France,Luxembourg Gardens,luxembourg garden parisian foreign tourist park sixth arrondissement paris center latin quarter largest park paris park today expanded renovated pleasant appearance rich parisian art living natural scenery park complement art sport leisure entertainment complement famous attraction park luxembourg palace back garden french senate west corridor palace used residence queen maria since fifth republic luxembourg palace become office senate luxembourg palace said crowning touch french park luxembourg garden complemented queen medici fountain next luxembourg palace luxembourg museum various work art regularly displayed temporary art exhibition held luxembourg palace connected luxembourg museum vaugirard road tennis court front museum public use appreciating statue addition two attraction statue sculpture park appear every corner park show figure animal greek mythology artist like beethoven baudelaire statue french queen outstanding woman flat ground center full leisure entire luxembourg garden open direction road garden straight high canopy increase visual permeability lot open space around central pool flower bed although park large affect unique comfortable atmosphere scenery beautiful comfortable local jogging green seat tree come parisian usually like come sit sit read book play chess always student young around pond center park whether reading chatting picnic nap full leisure energy photo exhibition often held fence around park music booth northeast corner park often venue concert occasional opera performance park open space park eiffel tower tallest building paris montparnasse tower far away tower front right park building front left since original luxembourg palace become french senate today park control slightly stricter opening hour complicated say open morning close evening summer december winter closed close earlier every day family friendly child activity playground horse ride puppet show around fountain middle park child often play game boat sailboat addition bringing child child play facility missed swing ride watch puppet show around fountain center park local child often play game remote control boat sailboat choose sunny afternoon sit lawn park spend time daze close eye nap indeed good place,None Related,662
Portugal,Moorish Castle,moorish castle hilltop parish santa maria san michael sintra castle europe across bank pena palace listed portuguese national monument become tourist attraction sintra moorish castle moor century middle part step collapsed early despite say towering building breathless climbing city wall unobstructed view surrounding scenery within city wall natural view hide collapsed house first impression chinese came castle first time moorish castle like great wall china twist turn bunker castle top sintra mountain surrounded wall hundred meter long lost use military defense early century difficult climb visitor reach top castle portuguese flag stand tall top castle vast atlantic ocean small town sintra distance clear day visitor ericeira mafra,None Related,233
New Zealand,Canterbury Museum,canterbury museum center christchurch elegant architectural appearance mainly display history canterbury region precious cultural relic eurasian region learn maori culture art exhibition appreciate various artwork left aboriginal maori maori exhibition area floor enjoy variety artwork exquisite carving left aboriginal maori display vehicle pioneering period reproduce contemporary street scene premise second floor office open viewing third floor mainly antarctic exhibition area addition relic captain scott extinct giant moa specimen moa egg bird hall well lifelike sculpture emperor penguin discovery center learn natural history addition discovery center child floor suitable activity various interesting interactive facility child learn natural history knowledge,None Related,196
Portugal,Santa Justa Lift,santa justa lift known elevador carmo lift lisbon open public opened public july great place enjoy streetscape lisbon lift commercial pedestrian street east side carmo abbey connecting higher piazza carmo largodo carmo lower street baixa pombalina enjoy beautiful scenery restaurant observation deck offer delicious dish suitable casual coffee afternoon elevator designer raoul mesnier du ponsard famous student alexandre gustave eiffe designer eiffel tower lift converted steam power electricity named national historic site,None Related,145
Korea,Everland,experience south korea first wooden roller coaster challenge limit step world panda animal kingdom cute fluffy panda melt location bts dynamite music everland classic theme amusement park south place everyone visit wildlife zoo jeep marketplace whose theme world main city flower celebration change every season well thrilling exciting recreational activity happy inspiring flower parade rollercoaster winding rugged alp speed per hour drop degree absolutely thrilling world highest roller coaster package never forget open safari view spread wide chance meet live predator right nose lower vision closer vision wider vivid wildtrams cordially invited exhibition hall incorporates advanced view experience panda diverse device deliver vivid experience everyday life space view cute panda right nose ï jungle search hidden pleasure fun cool splash water along meter long water path add fun adventure person le must accompanied guardian mv check shooting location bts hit dynamite mv photo,None Related,282
Japan,Takachiho Gorge,magnificent natural scenery ancient shrine seen takachiho full mythical mystery popular spot takachiho gorge canyon formed erosion aso lava gouse river cliff even meter high rent boat go river observe beautiful manai fall close spring early summer mountain cherry blossom rhododendron wisteria bloom cliff autumn gorgeous red leaf winter transforms world ice different view four season,None Related,110
United States,Locus Robotics,produce autonomous mobile robot support warehouse operation locus max example payload capacity pound locus origin come equipped camera sensor maneuver work order fulfillment alongside human counterpart,Robotic,46
United Kingdom,AstraZeneca,global biopharmaceutical company develops provides medicine various disease cancer cardiovascular respiratory infection company involved developing vaccine using viral vector technology,Biotechnology,37
Indonesia,Ceking Rice Terrace,tegalalang rice terrace feature countless postcard photographic work including novel eat pray love jay chou music video taoxiang tourist get look tropical landscape terrace roll mountain flowing mountain stream irrigate rice field patty dotted countless coconut tree surrounded beautiful green hill,None Related,62
France,Castle Hill,nice castle hill hill eastern end american pier meter high overlooking old city nice bay angel west overlooking port limbia east castle destroyed bellanda tower tourbellanda remains day still possible imagine momentum castle overlooking coastline park feature waterfall child playground making great spot picnic,None Related,92
New Zealand,Farmers Queen Street,queen street important commercial street auckland street kilometer long starting auckland waterfront north ending karanga heipi road south main street named queen victoria queen street auckland prime location ca go wrong want shop feel various classical ornate building along street building side queen street major attraction edwardian auckland dock building greek bank new zealand building british building patrick cathedral british auckland city hall colonial historical building modern building complement conflicting harmonious pier stand yellow pier building gift shop wool product store auckland shopping paradise queen street gift shop wool product store side street selling handmade wool robe maori carving jade jewelry shell jewelry souvenir bronze statue maori warrior holding wooden club queen street said respect maori auckland place polynesian maori populated world smith caughey department store new zealand oldest beloved department store civic theatre auckland town hall sky tower landmark building auckland followed civic theatre intersection queen st wellesley corner street facade large building restored grand magnificent mainly venue opera musical theatre important venue auckland international film festival auckland city hall far away typical building far queen street iconic sky tower seen queen street far dazzling sight auckland christmas parade feel festive atmosphere biggest festival queen street annual christmas parade event usually held late november early december visitor try arrive side queen street several hour advance occupy position good view christmas parade fully demonstrated tolerant multicultural society new zealand typical english band well chinese dragon dance lion dance waist drum team major company displayed float lively,None Related,444
