Place,Details,Class,WordCount
Daiba,"['odaiba', 'large', 'artificial', 'island', 'tokyo', 'bay', 'connected', 'central', 'tokyo', 'via', 'rainbow', 'bridge', 'become', 'increasingly', 'popular', 'entertainment', 'leisure', 'area', 'odaiba', 'something', 'precious', 'commodity', 'public', 'access', 'waterfront', 'locations', 'industry', 'harbor', 'facilities', 'block', 'accessing', 'sea', 'restaurants', 'shopping', 'entertainment', 'options', 'abound', 'making', 'odaiba', 'popular', 'tourist', 'destination', 'sure', 'look', 'replica', 'state', 'liberty', 'rainbow', 'bridge', 'set', 'behind', 'great', 'backdrop', 'photos']",None Related,90
Day Zero Diagnostics,"['future', 'infectious', 'disease', 'diagnostics', 'starts', 'day', 'zero', 'using', 'sequencing', 'wgs', 'proprietary', 'enabling', 'technologies', 'day', 'zero', 'creating', 'new', 'class', 'diagnostics', 'generates', 'clinically', 'actionable', 'data', 'scale', 'technologies', 'include', 'novel', 'sample', 'preparation', 'methods', 'enabling', 'unprecedented', 'enrichment', 'pathogen', 'dna', 'sequencing', 'directly', 'clinical', 'samples', 'machine', 'learning', 'algorithms', 'provide', 'clinically', 'actionable', 'diagnostic', 'results', 'database', 'wgs', 'drug', 'efficacy', 'profiles', 'day', 'zero', 'diagnostics', 'mission', 'transform', 'way', 'infectious', 'disease', 'diagnostics', 'performed', 'generating', 'stream', 'sequencing', 'data', 'required', 'change', 'track', 'manage', 'combat', 'infectious', 'diseases', 'enormous', 'unmet', 'clinical', 'economic', 'need', 'targeting', 'bloodstream', 'infections', 'sepsis', 'first', 'application', 'life', 'expectancy', 'patient', 'septic', 'shock', 'hours', 'without', 'fast', 'effective', 'antibiotic', 'treatment', 'however', 'even', 'successful', 'current', 'diagnostics', 'days', 'identify', 'pathogen', 'provide', 'antibiotic', 'susceptibility', 'profile', 'lack', 'rapid', 'accurate', 'comprehensive', 'diagnostics', 'forces', 'physicians', 'carpet', 'bomb', 'patients', 'severe', 'infections', 'powerful', 'yet', 'toxic', 'antibiotics', 'ineffective', 'cases', 'lead', 'significant', 'morbidity', 'mortality', 'day', 'zero', 'delivers', 'complete', 'diagnosis', 'including', 'species', 'antibiotic', 'resistance', 'profile', 'hours', 'days', 'enabling', 'physician', 'use', 'targeted', 'treatment', 'day', 'zero', 'hospital', 'admission', 'resulting', 'better', 'patient', 'outcomes', 'cost', 'savings']",Biotechnology,248
Delphi Rlics,"['ruins', 'delphi', 'religious', 'sites', 'classical', 'period', 'greece', 'ruins', 'foothills', 'parnassos', 'northwest', 'athens', 'named', 'delphi', 'lived', 'founded', 'century', 'bc', 'considered', 'center', 'world', 'ancient', 'greece', 'religious', 'center', 'symbol', 'unity', 'ancient', 'greece', 'delphi', 'important', 'temple', 'greek', 'places', 'temple', 'dedicated', 'sun', 'god', 'apollo', 'god', 'knowledge', 'light', 'music', 'medicine', 'ancient', 'greek', 'beliefs', 'theater', 'holy', 'road', 'ruins', 'area', 'sides', 'holy', 'road', 'gift', 'vaults', 'altars', 'monuments', 'colonnades', 'etc', 'greek', 'states', 'worship', 'gods', 'archaeological', 'excavations', 'delphi', 'site', 'system', 'started', 'ancient', 'buildings', 'temple', 'area', 'cleared', 'museum']",None Related,163
Denovium,"['reated', 'platform', 'genome', 'annotation', 'protein', 'discovery', 'identification', 'novel', 'dna', 'elements']",Biotechnology,15
Denpasar,"['known', 'batang', 'southern', 'seaport', 'bali', 'indonesia', 'capital', 'bali', 'largest', 'city', 'commercial', 'center', 'island', 'famous', 'tourist', 'destination', 'indonesia', 'ancient', 'modern', 'denpasar', 'called', 'kingdom', 'volcanoes', 'tea', 'plantations', 'combines', 'strong', 'religious', 'atmosphere', 'modern', 'style', 'especially', 'urban', 'architectural', 'style', 'reflects', 'unique', 'charm', 'bali', 'want', 'understand', 'life', 'local', 'go', 'traditional', 'market', 'traditional', 'large', 'markets', 'sides', 'padong', 'river', 'right', 'bank', 'river', 'sells', 'daily', 'necessities', 'fabrics', 'handmade', 'rattan', 'baskets', 'left', 'bank', 'sells', 'kinds', 'fruit', 'thinning', 'spices', 'denpasar', 'market', 'dazzling', 'array', 'goods', 'high', 'quality', 'low', 'prices', 'definitely', 'make', 'addicted', 'shopping', 'museums', 'collections', 'art', 'treasures', 'various', 'hindu', 'monasteries', 'making', 'tourist', 'city', 'full', 'charm']",None Related,173
Deoksugung Palace,"['deoksugung', 'palace', 'seoul', 'south', 'korea', 'five', 'grand', 'palaces', 'kings', 'joseon', 'dynasty', 'century', 'palace', 'inhabited', 'members', 'korean', 'royal', 'family', 'reign', 'joseaon', 'kings', 'unfortunately', 'japanese', 'destroyed', 'palatial', 'complex', 'invaded', 'colonized', 'korean', 'kingdom', 'early', 'years', 'century', 'government', 'korea', 'restored', 'remaining', 'buildings', 'least', 'third', 'original', 'structures', 'retain', 'original', 'splendor', 'magnificent', 'palace', 'provides', 'glimpse', 'lavish', 'lifestyles', 'royalty', 'interiors', 'palace', 'grand', 'whimsical', 'stone', 'sculptures', 'dotting', 'landscape', 'interested', 'ceremonious', 'display', 'pomp', 'grandeur', 'enjoy', 'changing', 'guards', 'ceremony', 'held', 'every', 'weekend', 'noon']",None Related,150
Devil's Tears,"['devil', 'tears', 'small', 'location', 'centuries', 'sea', 'water', 'formed', 'rocks', 'open', 'semicircle', 'caves', 'bottom', 'cliff', 'attest', 'ocean', 'relentless', 'power', 'wearing', 'away', 'rock', 'high', 'tide', 'waves', 'reaching', 'caves', 'create', 'great', 'jets', 'spouting', 'tens', 'meters', 'height', 'lucky', 'rainbows', 'resulting', 'mists', 'contrast', 'relative', 'calm', 'low', 'tide', 'frenetic', 'energy', 'high', 'tide', 'big', 'attraction', 'invariably', 'stunned', 'power', 'nature']",None Related,95
Devil's Tears,"['devil', 'tears', 'small', 'location', 'centuries', 'sea', 'water', 'formed', 'rocks', 'open', 'semicircle', 'caves', 'bottom', 'cliff', 'attest', 'ocean', 'relentless', 'power', 'wearing', 'away', 'rock', 'high', 'tide', 'waves', 'reaching', 'caves', 'create', 'great', 'jets', 'spouting', 'tens', 'meters', 'height', 'lucky', 'rainbows', 'resulting', 'mists', 'contrast', 'relative', 'calm', 'low', 'tide', 'frenetic', 'energy', 'high', 'tide', 'big', 'attraction', 'invariably', 'stunned', 'power', 'nature']",None Related,95
Diligent Robotics,"['uses', 'ai', 'build', 'robotic', 'assistants', 'healthcare', 'industry', 'company', 'moxi', 'robot', 'able', 'deliver', 'medication', 'lab', 'samples', 'equipped', 'robotic', 'arm', 'allows', 'navigating', 'doors', 'elevators']",Robotic,36
Disneyland Paris,"['christmas', 'coming', 'th', 'november', 'come', 'experience', 'magic', 'christmas', 'like', 'nowhere', 'else', 'paris', 'nothing', 'like', 'unique', 'atmosphere', 'disney', 'enchanted', 'christmas', 'bring', 'loved', 'ones', 'together', 'create', 'unforgettable', 'memories', 'last', 'lifetime', 'gaze', 'awe', 'majestic', 'twinkling', 'christmas', 'tree', 'cheer', 'along', 'mickey', 'dazzling', 'christmas', 'parade', 'beams', 'day', 'sparkles', 'night', 'enjoy', 'festive', 'surprises', 'beloved', 'disney', 'characters', 'step', 'twinkling', 'wonderland', 'bursting', 'christmas', 'share', 'wish', 'experience', 'magical', 'moments', 'together', 'enchanting', 'christmas', 'wonderlands', 'disney', 'imagine', 'feel', 'extra', 'special', 'festive', 'spirit', 'wander', 'twinkling', 'streets', 'park', 'gaze', 'giant', 'sparkling', 'tree', 'magical', 'ever', 'may', 'even', 'snow', 'main', 'street', 'miss', 'magical', 'illumination', 'giant', 'christmas', 'make', 'sure', 'head', 'town', 'square', 'dusk', 'magical', 'moments', 'giant', 'christmas', 'tree', 'illuminated', 'times', 'throughout', 'day', 'evening', 'time', 'lighting', 'eyes', 'watching', 'festivities', 'continue', 'mickey', 'friends', 'disney', 'princess', 'characters', 'santa', 'stop', 'mickey', 'dazzling', 'christmas', 'parade', 'join', 'fun', 'feel', 'joy', 'mickey', 'dazzling', 'christmas', 'parade', 'whoop', 'wave', 'merrily', 'magical', 'festive', 'procession', 'mickey', 'dazzling', 'christmas', 'parade', 'day', 'mickey', 'friends', 'disney', 'princess', 'characters', 'santa', 'dancing', 'gliding', 'main', 'street', 'fabulous', 'floats', 'bedecked', 'twinkling', 'christmas', 'tree', 'design', 'night', 'parade', 'glows', 'bright', 'adding', 'even', 'sparkle', 'enchanting', 'christmas', 'wonderlands', 'share', 'christmas', 'wishes', 'disney', 'santa', 'come', 'together', 'disney', 'characters', 'dressed', 'festive', 'finery', 'feel', 'magic', 'christmas', 'come', 'life', 'like', 'nowhere', 'else', 'chance', 'wish', 'stitch', 'goofy', 'friends', 'happiest', 'ho', 'ho', 'holidays', 'even', 'meet', 'snap', 'photo', 'santa', 'ask', 'get', 'together', 'mickey', 'friends', 'merry', 'musical', 'sing', 'along', 'mickey', 'minnie', 'donald', 'daisy', 'goofy', 'swing', 'christmas', 'spirit', 'let', 'sing', 'christmas', 'show', 'videopolis', 'discoveryland', 'sackful', 'festive', 'songs', 'celebration', 'music', 'proves', 'nothing', 'quite', 'like', 'tune', 'bring', 'everyone', 'together', 'yummy', 'christmas', 'time', 'come', 'gather', 'around', 'table', 'enjoy', 'disneylicious', 'specialities', 'celebrate', 'christmas', 'warm', 'winter', 'velouté', 'stuffed', 'poultry', 'chestnuts', 'cranberries', 'chocolate', 'specialities', 'parks', 'hotels', 'even', 'christmas', 'market', 'l', 'hiver', 'gourmand']",None Related,477
Distributed Bio,"['company', 'developed', 'antibody', 'discovery', 'engineering', 'informatics', 'tools', 'services', 'life', 'sciences', 'research', 'drug', 'discovery', 'markets', 'provided', 'computational', 'platform', 'analysis', 'engineering', 'antibodies', 'tcrs', 'peptides', 'discovery', 'platform', 'antibody', 'libraries']",Biotechnology,44
Dongdaemun History & Culture Park,"['dongdaemun', 'history', 'culture', 'park', 'complex', 'cultural', 'space', 'perfectly', 'combines', 'traditional', 'buildings', 'relics', 'relics', 'modern', 'facilities', 'dongdaemun', 'known', 'fashion', 'vane', 'korea', 'open', 'public', 'hours', 'day', 'exhibition', 'halls', 'parks', 'park', 'free', 'fact', 'dongdaemun', 'history', 'culture', 'park', 'general', 'term', 'entire', 'area', 'collective', 'name', 'facilities', 'seoul', 'fortress', 'erjian', 'water', 'gate', 'dongdaemun', 'history', 'museum', 'dongdaemun', 'relic', 'exhibition', 'hall', 'dongdaemun', 'stadium', 'memorial', 'hall', 'event', 'hall', 'design', 'gallery', 'order', 'commemorate', 'dongdaemun', 'stadium', 'two', 'lighting', 'towers', 'holy', 'fire', 'platform', 'used', 'night', 'competition', 'preserved', 'present', 'theme', 'park', 'learn', 'history', 'culture', 'seoul', 'modern', 'exhibition', 'hall', 'design', 'cultural', 'heritage', 'good', 'place', 'seoul', 'citizens', 'relax', 'entertain']",None Related,172
Doosan Robotics,"['doosan', 'robotics', 'industrial', 'robots', 'able', 'handle', 'stack', 'multiple', 'heavy', 'objects', 'busy', 'manufacturing', 'production', 'facilities', 'company', 'robots', 'capable', 'loading', 'unloading', 'cnc', 'machines', 'like', 'lathes', 'milling', 'machines', 'fasten', 'screws', 'nuts', 'bolts', 'assemble', 'items', 'like', 'thermostats', 'even', 'complex', 'tasks', 'requiring', 'precision', 'like', 'applying', 'glue', 'car', 'door', 'junctions', 'heat', 'exchangers']",Robotic,69
Dotombori,"['southern', 'end', 'shinsaibashi', 'dotonbori', 'bustling', 'business', 'district', 'famous', 'neighboring', 'theaters', 'commercial', 'entertainment', 'venues', 'birthplace', 'osaka', 'cuisine', 'japanese', 'often', 'say', 'eat', 'osaka', 'shows', 'restaurants', 'huge', 'billboards', 'sides', 'river', 'exaggerated', 'attractive', 'shapes', 'among', 'big', 'crab', 'signboard', 'glico', 'signboard', 'kani', 'dōraku', 'crab', 'places', 'tourists', 'photos', 'night', 'neon', 'lights', 'flashing', 'sightseeing', 'boat', 'enjoy', 'night', 'view', 'city']",None Related,107
Dragon Hill Spa,"['perhaps', 'known', 'seoul', 'public', 'baths', 'known', 'jjimjilbang', 'dragon', 'hill', 'earned', 'reputation', 'anglophone', 'location', 'directly', 'beside', 'yongsan', 'station', 'famous', 'electronics', 'market', 'helped', 'well', 'leading', 'big', 'crowds', 'baths', 'weekends']",None Related,45
Dream Beach,"['dream', 'beach', 'beautiful', 'beach', 'popular', 'attractions', 'bali', 'clear', 'blue', 'water', 'fine', 'sand', 'colorful', 'coral', 'form', 'unique', 'beauty', 'making', 'ideal', 'holiday', 'destination', 'wind', 'waves', 'high', 'waves', 'strong', 'climbing', 'power', 'making', 'paradise', 'surfers', 'get', 'away', 'busy', 'life', 'slow', 'enjoy', 'wonderful', 'vacation', 'rapid', 'development', 'hilly', 'development', 'area', 'lembongan', 'island', 'already', 'provide', 'good', 'accommodation', 'conditions', 'living', 'lembongan', 'island', 'enjoy', 'sea', 'view', 'delicacies', 'viewing', 'platform', 'hotel', 'infinity', 'swimming', 'pool']",None Related,113
Duiker Island,"['south', 'seal', 'island', 'small', 'island', 'hout', 'bay', 'houtbay', 'famous', 'large', 'number', 'seals', 'seagulls', 'island', 'cape', 'fur', 'seals', 'native', 'southern', 'breed', 'coasts', 'south', 'namibia', 'reach', 'speeds', 'kilometers', 'per', 'hour', 'seal', 'island', 'kilometers', 'away', 'hout', 'bay', 'pier', 'go', 'seal', 'island', 'seals', 'need', 'cruise', 'ship']",None Related,82
Dunedin,"['century', 'scots', 'city', 'dunedin', 'new', 'zealand', 'fourth', 'largest', 'city', 'subsequent', 'gold', 'rush', 'brought', 'large', 'number', 'wealth', 'young', 'city', 'whole', 'city', 'dominated', 'scottish', 'architecture', 'known', 'city', 'scottish', 'style', 'scotland']",None Related,56
Eagle Genomics,"['eagle', 'genomics', 'applies', 'network', 'science', 'biology', 'revealing', 'impact', 'microbiome', 'humans', 'animals', 'environment', 'secure', 'sustainable', 'future', 'food', 'water', 'soil', 'health', 'planet']",Biotechnology,35
Easter Island,"['easter', 'island', 'island', 'south', 'pacific', 'known', 'rapa', 'nui', 'isolated', 'south', 'pacific', 'isolated', 'islands', 'world', 'april', 'easter', 'dutch', 'discovered', 'island', 'named', 'easter', 'island', 'easter', 'island', 'famous', 'hundreds', 'majestic', 'giant', 'moai', 'statues', 'whose', 'production', 'process', 'symbolism', 'still', 'puzzle', 'archaeologists', 'cast', 'layer', 'mystery', 'island']",None Related,76
Eduardo VII Park,"['edward', 'vii', 'park', 'best', 'park', 'lisbon', 'edward', 'vii', 'park', 'hill', 'far', 'hustle', 'bustle', 'city', 'center', 'wide', 'field', 'vision', 'locals', 'walk', 'rest', 'edward', 'vii', 'park', 'attractions', 'tourists', 'often', 'visit', 'park', 'north', 'avenid', 'ada', 'liberdade', 'praça', 'marquês', 'de', 'pombal', 'city', 'center', 'covering', 'area', 'hectares', 'park', 'along', 'hillside', 'terrain', 'whole', 'large', 'lawn', 'center', 'avenues', 'covered', 'tall', 'trees', 'sides', 'sculptures', 'stand', 'hillside', 'monument', 'named', 'awakening', 'april']",None Related,123
Egypt Divers,"['stroll', 'bottom', 'red', 'sea', 'surrounded', 'colorful', 'corals', 'silvery', 'fish', 'mysterious', 'shipwrecks', 'red', 'sea', 'region', 'unique', 'ecological', 'environment', 'seawater', 'resources', 'diving', 'paradise', 'hurghada', 'sharmel', 'sheikh', 'safaga', 'places', 'diving', 'diving', 'agencies', 'choose', 'dive', 'shore', 'choose', 'go', 'sea', 'boat', 'diving', 'deep', 'sea']",None Related,72
Eiffel Tower,"['eiffel', 'tower', 'paris', 'quintessential', 'landmarks', 'notre', 'dame', 'symbol', 'ancient', 'paris', 'eiffel', 'tower', 'symbol', 'modern', 'paris', 'tower', 'originally', 'entrance', 'world', 'fair', 'commemorate', 'anniversary', 'french', 'revolution', 'making', 'important', 'cultural', 'symbol', 'france', 'atop', 'wrought', 'iron', 'tower', 'lookout', 'visitors', 'get', 'astounding', 'panoramic', 'view', 'paris', 'cityscape']",None Related,77
El Ateneo Grand Splendid,"['athenian', 'bookstore', 'downtown', 'area', 'buenos', 'aires', 'bookstore', 'converted', 'old', 'theater', 'claims', 'second', 'largest', 'bookstore', 'world', 'bookstore', 'predecessor', 'grand', 'theater', 'light', 'completed', 'landmark', 'buenos', 'aires', 'dome', 'fresco', 'painted', 'italian', 'painter', 'sanarino', 'orlandi', 'theme', 'peace', 'original', 'boxes', 'sculptures', 'crimson', 'curtain', 'stage', 'theater', 'well', 'preserved', 'stage', 'become', 'place', 'readers', 'rest', 'go', 'eat', 'snacks', 'sit', 'read', 'boxes', 'turned', 'mini', 'reading', 'rooms']",None Related,113
Elafonissi Beach,"['pink', 'beach', 'beach', 'greece', 'light', 'pink', 'fine', 'sand', 'fine', 'sand', 'sea', 'shows', 'rounds', 'pink', 'halo', 'sunlight', 'reason', 'sand', 'uniquely', 'pink', 'hundreds', 'millions', 'marine', 'life', 'debris', 'sea', 'washed', 'beach', 'weathering', 'pink', 'shells', 'refined', 'tiny', 'particles', 'spread', 'beach', 'sandy', 'beaches', 'ritter', 'elafonisi', 'color', 'sea', 'water', 'dreamy', 'color', 'shallow', 'deep', 'crystal', 'clear', 'beach', 'popular', 'tourists', 'come', 'sunbathe', 'good', 'place', 'vacation']",None Related,126
Eland Cruise,"['cruise', 'han', 'river', 'moves', 'slowly', 'along', 'water', 'provides', 'space', 'citizens', 'disturbed', 'noise', 'air', 'pollution', 'noisy', 'city', 'breathe', 'fresh', 'air', 'rest', 'entertain', 'present', 'cruise', 'boats', 'tourists', 'ride', 'han', 'river', 'yanghwa', 'jamsil', 'places', 'reached', 'cruise', 'ship', 'include', 'yeouido', 'jamsil', 'gyeongdo', 'yanghwa', 'lanji', 'seoul', 'forest', 'jamdubong', 'pier', 'roughly', 'divided', 'two', 'types', 'according', 'route', 'operation', 'circular', 'route', 'detours', 'around', 'pier', 'returns', 'original', 'pier', 'route', 'either', 'starting', 'yeouido', 'arriving', 'jamsil', 'via', 'bongdo', 'starting', 'jamsil', 'passing', 'bongsil', 'island', 'arrives', 'yeouido', 'cruise', 'panoramic', 'view', 'scenery', 'around', 'han', 'river', 'including', 'famous', 'places', 'yuri', 'island', 'cheildusan', 'park', 'building', 'seoul', 'n', 'namsan', 'tower', 'jamsil', 'sports', 'arena', 'boat', 'passes', 'attractions', 'docent', 'give', 'introduction', 'commentary']",None Related,189
Elroy Air,"['autonomous', 'aircrafts', 'play', 'role', 'delivering', 'goods', 'remote', 'locations', 'difficult', 'get', 'vehicles', 'area', 'attempt', 'delivery', 'elroy', 'air', 'uses', 'ai', 'autonomous', 'vertical', 'landing', 'cargo', 'aircraft', 'called', 'chaparral', 'ai', 'robot', 'carry', 'pounds', 'range']",Robotic,52
EnGenome,"['combining', 'artificial', 'intelligence', 'acmg', 'amp', 'clingen', 'guidelines', 'evai', 'classifies', 'prioritizes', 'genomic', 'variants', 'pathogenicity', 'suggesting', 'possible', 'genetic', 'diagnoses']",Biotechnology,23
Energy Robotics,"['energy', 'robotics', 'exrobotics', 'launched', 'world', 'first', 'commercially', 'available', 'certified', 'mobile', 'ground', 'robotics', 'system', 'remote', 'inspection', 'oil', 'gas', 'g', 'operations']",Robotic,28
Envisagenics,"['envisagenics', 'biotechnology', 'company', 'using', 'artificial', 'intelligence', 'rna', 'sequencing', 'discover', 'develop', 'therapeutics', 'arrest', 'rna', 'splicing', 'errors', 'cancer', 'genetic', 'diseases']",Biotechnology,26
Epirus,"['develops', 'power', 'management', 'systems', 'defense', 'commercial', 'applications', 'line', 'leonidas', 'systems', 'designed', 'quickly', 'neutralize', 'drone', 'threats', 'epirus', 'smartpower', 'platform', 'companies', 'efficiently', 'manage', 'several', 'advanced', 'hpms']",Aerospace,39
Epson,"['epson', 'develops', 'manufactures', 'line', 'industrial', 'scara', 'robots', 'epson', 'models', 'scara', 'robots', 'first', 'designed', 'years', 'assemble', 'seiko', 'watches', 'range', 'reach', 'millimeters', 'millimeters', 'today', 'epson', 'scara', 'robots', 'used', 'taylor', 'guitars', 'helping', 'guitar', 'manufacturer', 'increase', 'production', 'acoustic', 'pickups', 'day', 'company', 'industrial', 'robots', 'folding', 'arm', 'design', 'improves', 'motion', 'increases', 'efficiency']",Robotic,83
Everland,"['experience', 'south', 'korea', 'first', 'wooden', 'roller', 'coaster', 'challenge', 'limits', 'step', 'world', 'pandas', 'animal', 'kingdom', 'cute', 'fluffy', 'pandas', 'melt', 'location', 'bts', 'dynamite', 'music', 'everland', 'classic', 'theme', 'amusement', 'park', 'south', 'place', 'everyone', 'visit', 'wildlife', 'zoo', 'jeep', 'marketplace', 'whose', 'theme', 'world', 'main', 'cities', 'flower', 'celebration', 'changes', 'every', 'season', 'well', 'thrilling', 'exciting', 'recreational', 'activities', 'happy', 'inspiring', 'flower', 'parade', 'rollercoaster', 'winding', 'rugged', 'alps', 'speed', 'per', 'hour', 'drop', 'degrees', 'absolutely', 'thrilling', 'world', 'highest', 'roller', 'coaster', 'package', 'never', 'forget', 'open', 'safari', 'view', 'spread', 'wide', 'chance', 'meet', 'live', 'predator', 'right', 'nose', 'lower', 'vision', 'closer', 'vision', 'wider', 'vivid', 'wildtrams', 'cordially', 'invited', 'korea', 'exhibition', 'hall', 'incorporates', 'advanced', 'view', 'experience', 'panda', 'diverse', 'devices', 'deliver', 'vivid', 'experience', 'panda', 'everyday', 'life', 'space', 'view', 'cute', 'panda', 'right', 'nose', 'jungle', 'search', 'hidden', 'pleasure', 'fun', 'cool', 'splash', 'water', 'along', 'meter', 'long', 'water', 'path', 'adds', 'fun', 'adventure', 'person', 'less', 'must', 'accompanied', 'guardian', 'mv', 'check', 'shooting', 'location', 'bts', 'hit', 'dynamite', 'mv', 'photos']",None Related,282
Everland,"['experience', 'south', 'korea', 'first', 'wooden', 'roller', 'coaster', 'challenge', 'limits', 'step', 'world', 'pandas', 'animal', 'kingdom', 'cute', 'fluffy', 'pandas', 'melt', 'location', 'bts', 'dynamite', 'music', 'everland', 'classic', 'theme', 'amusement', 'park', 'south', 'place', 'everyone', 'visit', 'wildlife', 'zoo', 'jeep', 'marketplace', 'whose', 'theme', 'world', 'main', 'cities', 'flower', 'celebration', 'changes', 'every', 'season', 'well', 'thrilling', 'exciting', 'recreational', 'activities', 'happy', 'inspiring', 'flower', 'parade', 'rollercoaster', 'winding', 'rugged', 'alps', 'speed', 'per', 'hour', 'drop', 'degrees', 'absolutely', 'thrilling', 'world', 'highest', 'roller', 'coaster', 'package', 'never', 'forget', 'open', 'safari', 'view', 'spread', 'wide', 'chance', 'meet', 'live', 'predator', 'right', 'nose', 'lower', 'vision', 'closer', 'vision', 'wider', 'vivid', 'wildtrams', 'cordially', 'invited', 'korea', 'exhibition', 'hall', 'incorporates', 'advanced', 'view', 'experience', 'panda', 'diverse', 'devices', 'deliver', 'vivid', 'experience', 'panda', 'everyday', 'life', 'space', 'view', 'cute', 'panda', 'right', 'nose', 'jungle', 'search', 'hidden', 'pleasure', 'fun', 'cool', 'splash', 'water', 'along', 'meter', 'long', 'water', 'path', 'adds', 'fun', 'adventure', 'person', 'less', 'must', 'accompanied', 'guardian', 'mv', 'check', 'shooting', 'location', 'bts', 'hit', 'dynamite', 'mv', 'photos']",None Related,282
"Evian Town, France","['town', 'evian', 'famous', 'mineral', 'water', 'upscale', 'resort', 'shores', 'lake', 'geneva', 'walking', 'along', 'sidewalk', 'lake', 'exquisite', 'buildings', 'late', 'century', 'early', 'century', 'city', 'hall', 'spa', 'treatment', 'center', 'stand', 'another', 'reminding', 'prosperous', 'era', 'france', 'evian', 'water', 'source', 'source', 'de', 'cachat', 'near', 'city', 'center', 'taste', 'gushing', 'water', 'cruise', 'lake', 'le', 'mans', 'lausanne', 'switzerland', 'minutes', 'french', 'alps', 'side', 'swiss', 'grape', 'fields', 'walking', 'lake', 'looking', 'scenery', 'sides', 'relaxing', 'thing', 'evian', 'town', 'birthplace', 'evian', 'water', 'place', 'world', 'taste', 'evian', 'water', 'free', 'public', 'drinking', 'water', 'points', 'evian', 'town', 'evian', 'water', 'flows', 'years', 'town', 'drink', 'free', 'early', 'morning', 'dusk', 'residents', 'town', 'line', 'fill', 'drinking', 'water', 'takes', 'dozen', 'seconds', 'fill', 'empty', 'bottle', 'bottle', 'evian', 'water', 'town', 'store', 'sells', 'euros', 'said', 'living', 'switzerland', 'drive', 'hour', 'weekends', 'fill', 'enough', 'water', 'drink', 'week', 'leave']",None Related,253
Ewha Womans University,"['ewha', 'womans', 'university', 'women', 'institution', 'higher', 'learning', 'school', 'sorts', 'beautiful', 'scenery', 'especially', 'autumn', 'maple', 'leaves', 'falling', 'spring', 'cherry', 'blossoms', 'first', 'appear', 'everywhere', 'look', 'mix', 'verdant', 'green', 'growth', 'scholastic', 'buildings', 'quiet', 'little', 'garden', 'hillside', 'campus', 'avenue', 'full', 'ginkgo', 'trees', 'hard', 'forget', 'ewha', 'means', 'pear', 'flower', 'result', 'school', 'gate', 'large', 'bas', 'relief', 'sculpture', 'pear', 'blossoms', 'popular', 'site', 'taking', 'souvenir', 'photos', 'ewha', 'womans', 'university', 'ecc', 'ewha', 'campus', 'complex', 'korea', 'largest', 'underground', 'campus', 'six', 'levels', 'counting', 'ground', 'floor', 'near', 'school', 'ewha', 'fashion', 'street', 'caters', 'student', 'body', 'beauty', 'salons', 'fashion', 'stores', 'cafés']",None Related,140
Ewha Womans University,"['ewha', 'womans', 'university', 'women', 'institution', 'higher', 'learning', 'school', 'sorts', 'beautiful', 'scenery', 'especially', 'autumn', 'maple', 'leaves', 'falling', 'spring', 'cherry', 'blossoms', 'first', 'appear', 'everywhere', 'look', 'mix', 'verdant', 'green', 'growth', 'scholastic', 'buildings', 'quiet', 'little', 'garden', 'hillside', 'campus', 'avenue', 'full', 'ginkgo', 'trees', 'hard', 'forget', 'ewha', 'means', 'pear', 'flower', 'result', 'school', 'gate', 'large', 'bas', 'relief', 'sculpture', 'pear', 'blossoms', 'popular', 'site', 'taking', 'souvenir', 'photos', 'ewha', 'womans', 'university', 'ecc', 'ewha', 'campus', 'complex', 'korea', 'largest', 'underground', 'campus', 'six', 'levels', 'counting', 'ground', 'floor', 'near', 'school', 'ewha', 'fashion', 'street', 'caters', 'student', 'body', 'beauty', 'salons', 'fashion', 'stores', 'cafés']",None Related,140
Exyn Technologies,"['exyn', 'technologies', 'offers', 'advanced', 'autonomous', 'aerial', 'robot', 'fully', 'autonomous', 'aerial', 'system', 'data', 'collection', 'environments', 'including', 'mapping', 'inspection', 'underground', 'mines']",Robotic,27
FAULHABER MICROMO,"['micromo', 'faulhaber', 'group', 'specialize', 'design', 'assembly', 'application', 'miniature', 'dc', 'drive', 'systems', 'components', 'controls', 'includes', 'everything', 'highly', 'customized', 'dc', 'motion', 'control', 'systems', 'versatile', 'standardized', 'products', 'iso', 'certified']",Robotic,42
Fanuc,"['major', 'producer', 'robotic', 'products', 'manufacturers', 'portfolio', 'includes', 'lasers', 'robodrills', 'cobots', 'company', 'equips', 'products', 'capabilities', 'example', 'fanuc', 'added', 'ai', 'path', 'control', 'function', 'enhances', 'precision', 'robots', 'combining', 'machine', 'learning', 'acceleration', 'sensors', 'help', 'robots', 'improve', 'movements', 'time']",Robotic,56
