,Place,Details,Class,Cleaned_Details
341,Gold Coast Sea World,"SeaWorld is one of Australia's premier marine theme parks, a place where visitors can have fun with dolphins, sharks, rays, polar bears, sea lions, Antarctic penguins and more marine life. Sea World is divided into several major areas, including the brand-new Penguin Pavilion, Polar Bear Coast and Shark Bay and other special venues. At here, visitors can enjoy dolphin and seal performances, feed sea lions, watch emperor penguins and polar bears, and interact with Nickelodeon Character, such as SpongeBob SquarePants, Patrick Star, Teenage Mutant Ninja Turtles, and PAW Patrol's Chase and Marshall.△ Meet your favorite animated characters△ Closely interact with marine life△ Experience exciting rides",None Related,seaworld one australia premier marine theme parks place visitors fun dolphins sharks rays polar bears sea lions antarctic penguins marine life sea world divided several major areas including penguin pavilion polar bear coast shark bay special venues visitors enjoy dolphin seal performances feed sea lions watch emperor penguins polar bears interact nickelodeon character spongebob squarepants patrick star teenage mutant ninja turtles paw patrol chase meet favorite animated closely interact marine experience exciting rides
342,Gold Coast beach,"The sunshine on the Gold Coast is not pretentious. The air here is full of the smell of the sea breeze. The night scene is very sensible. There will be people desperately enjoying the sun all day long, and the wild animals here are so cute and well-behaved. Darwin, who ended his Australian expedition in 1836, once left a deep farewell message here, ""Farewell, Australia, when I left your shores without any regrets and sorrows"", I believe you will return without regrets. Surfers Paradise is the most attractive place on the Gold Coast. Whether you are happy or energetic, you can empty your soul and find where your heart belongs. The picturesque scenery of Springbrook National Park is amazing. In one of its mysterious caves, thousands of light-emitting worms will sparkle, waiting for you to visit before the dark night; if you are a hiking enthusiast, then come to Lamington National Park, a world cultural heritage, you You will definitely be excited, there are too many good walks on the trees and on the ground, worthy of your shoes, and how can you forget the charming rainforest scenery along the way; at sunset, climb to the height of the ground The 235-meter SkyPoint viewing platform, watch how the sunset falls into the deep sea magnificently and magnificently; you have been dreaming of idyllic style for many years when you come to Paradise Farm; come to the Gold Coast, if you miss the wonderful theme park, you will regret it in the future, dream world , Mountain Dew World, Warner Movie World, there are too many worlds that are too dazzling, too bright, too colorful, quickly accept their hotter invitations, and let's release the heat together under the sun on the Gold Coast!",None Related,sunshine gold coast pretentious air full smell sea breeze night scene sensible people desperately enjoying sun day long wild animals cute darwin ended australian expedition 1836 left deep farewell message farewell australia left shores without regrets sorrows believe return without regrets surfers paradise attractive place gold coast whether happy energetic empty soul find heart belongs picturesque scenery springbrook national park amazing one mysterious caves thousands worms sparkle waiting visit dark night hiking enthusiast come lamington national park world cultural heritage definitely excited many good walks trees ground worthy shoes forget charming rainforest scenery along way sunset climb height ground skypoint viewing platform watch sunset falls deep sea magnificently magnificently dreaming idyllic style many years come paradise farm come gold coast miss wonderful theme park regret future dream world mountain dew world warner movie world many worlds dazzling bright colorful quickly accept hotter invitations let release heat together sun gold coast
343,Golden Dome Cabaret Show,"Enjoy the performers' gorgeous costumes, elaborate sets and spectacular lighting.The combination of spectacular luxury theaters and prime locations in Bangkok has become the music show of choice for most tourists in Bangkok.The Golden Dome Cabaret Performance won the 2017 Thailand Ten People's Choice Award from the Tourism Authority of Thailand.
△ Unique stage performance
△ Strong performance lineup
The theater is located in the heart of Bangkok and is easily accessible by car and public transport. The entire theater can seat almost 1,000 people. The performance lasts about 45 minutes. It is equipped with advanced lighting and sound systems, bringing a truly immersive performance experience. On the right hand wall of the entrance, you can see the 2005 Thai Contest. This show won the first place and won the first place. The whole performance is very watchable. After the show, you can pay some tips to take photos with the beauties.",None Related,enjoy performers gorgeous costumes elaborate sets spectacular combination spectacular luxury theaters prime locations bangkok become music show choice tourists golden dome cabaret performance 2017 thailand ten people choice award tourism authority thailand unique stage performance strong performance lineup theater located heart bangkok easily accessible car public transport entire theater seat almost people performance lasts 45 minutes equipped advanced lighting sound systems bringing truly immersive performance experience right hand wall entrance see 2005 thai contest show first place first place whole performance watchable show pay tips take photos beauties
344,Golden Pass Railway,"Two languages, three worlds, six lakes, one route: this is the Golden Pass route. In Montreux, the palm trees and southern vibes along the ""Swiss Riviera"" still prevail. French romance fills the air. Vineyards and gardens can be captured as the Golden Pass Express goes uphill, the trains are fading away, and a look back at Lake Geneva, the tunnels, and more. The Golden Pass Express is a fascinating route connecting the beautiful lakes of Switzerland such as Lake Geneva, Lake Thun, Lake Brienz and Lake Lucerne.",None Related,two languages three worlds six lakes one route golden pass route montreux palm trees southern vibes along swiss riviera still prevail french romance fills air vineyards gardens captured golden pass express goes uphill trains fading away look back lake geneva tunnels golden pass express fascinating route connecting beautiful lakes switzerland lake geneva lake thun lake brienz lake lucerne
345,Gondola Ride,"Venice is a very unique city, with a river as its street. Apart from buildings and squares, there is hardly any land in the city. Venice has no roads, no cars, no traffic lights, just winding waterways, boats coming and going, and more than 400 bridges of different styles. Boats are a must-have means of transportation for Venetians. The boats of various households are more characteristic of a small rowing ""gondola"", which is usually full of 6 people, plus 1 boatman. Gondola cruises are popular with tourists in the area. Gondolas have been a part of Venice since the 11th century AD, and their thin hulls and flat bottoms are ideal for Venice's narrow and shallow canals. The bow is tilted slightly to the left, offsetting the weight of the oars and preventing the gondola from spinning in circles. According to a law enacted in 1562, all gondolas were to be painted black to prevent people from showing off their wealth. Only on special occasions gondolas can be decorated as flower boats.",None Related,venice unique city river street apart buildings squares hardly land city venice roads cars traffic lights winding waterways boats coming going 400 bridges different styles boats means transportation venetians boats various households characteristic small rowing gondola usually full 6 people plus 1 boatman gondola cruises popular tourists area gondolas part venice since 11th century ad thin hulls flat bottoms ideal venice narrow shallow canals bow tilted slightly left offsetting weight oars preventing gondola spinning circles according law enacted 1562 gondolas painted black prevent people showing wealth special occasions gondolas decorated flower boats
346,Gornergrat,"Gornergrat is a mountain ridge near Zermatt. From the viewing platform here, you can enjoy the snow-covered mountains of more than 4,000 meters from the Rosa Peak to the Matterhorn, and overlook the Alps. Panorama of the long Gorner Glacier.",None Related,gornergrat mountain ridge near zermatt viewing platform enjoy mountains meters rosa peak matterhorn overlook alps panorama long gorner glacier
347,Government Gardens,"The land occupied by the Government Gardens was originally owned by the Maori. This was originally a bush-covered geothermal area, called Paepaekumana by the Maori, who have left too many memories of war on this land. It was gifted to the government by the Maori in the late 19th century, who made a drastic transformation: clearing the bushes, replanting them with orthodox garden plants, and transforming the land into a beautiful and elegant lakeside spa Scenic spot. The Rotorua Museum of Art and History and the Polynesian Spa are both housed in Government Gardens. Even if you don't visit the museum or go to the hot springs, just strolling in this meticulously kept park and feeling the blue sky and green breeze of Rotorua is a very pleasant thing.",None Related,land occupied government gardens originally owned maori originally geothermal area called paepaekumana maori left many memories war land gifted government maori late 19th century made drastic transformation clearing bushes replanting orthodox garden plants transforming land beautiful elegant lakeside spa scenic spot rotorua museum art history polynesian spa housed government gardens even visit museum go hot springs strolling meticulously kept park feeling blue sky green breeze rotorua pleasant thing
348,Grand Baie,"Grand Bay is a bay town in the north of Mauritius. The sea here is calm and the sandy beaches are delicate. It is also a local snorkeling resort. You can snorkel and dive here, and you can also go out to sea to chase dolphins. Topographical features Dawan is named after the curved fjord located in the north of the island. It is a harbor town and an important scenic spot in the north of Mauritius. Surrounded by land on three sides, the blue water is particularly quiet here, and it is only a white bay. The sandy beaches have attracted countless tourists from Mauritius. Relax here, some people will play in the sea water, some people will choose to sit on the shore fishing, some people will lie on the beach chair and close their eyes, and you can be any of them. In addition, it is also a diving resort, whether it is snorkeling or diving, it is suitable for all kinds of people. Of course, if you plan to go to sea, you can also order whale watching and dolphin chasing projects on the shore, so that you can completely relax your body and mind. In addition to the lively harbour market, large supermarkets and shopping centers in Dawan are also readily available, while bars and specialty shops can fully satisfy tourists' petty bourgeoisie complex.",None Related,grand bay bay town north mauritius sea calm sandy beaches delicate also local snorkeling resort snorkel dive also go sea chase dolphins topographical features dawan named curved fjord located north island harbor town important scenic spot north mauritius surrounded land three sides blue water particularly quiet white bay sandy beaches attracted countless tourists mauritius relax people play sea water people choose sit shore fishing people lie beach chair close eyes addition also diving resort whether snorkeling diving suitable kinds people course plan go sea also order whale watching dolphin chasing projects shore completely relax body mind addition lively harbour market large supermarkets shopping centers dawan also readily available bars specialty shops fully satisfy tourists petty bourgeoisie complex
349,Grand Canal,"The Grand Canal of Venice is the main waterway in Venice. It is in an inverse S shape along the natural waterway from St. Mark's Basilica to St. Chiara Church, and is connected with many small canals. Much of the city's traffic travels through these waterways. The Grand Canal is an inverted S shape, winding from the Roman Forum in the northwest to St. Mark's Square. It is about 4 kilometers long, about 6 meters deep, and 40 to 100 meters wide. It is the most important traffic artery in Venice. There are more than 100 ancient buildings on both sides of the coast. Every September, there is a traditional regatta in Venice, which is a race of gondolas and other traditional boats on the Grand Canal.",None Related,grand canal venice main waterway venice inverse shape along natural waterway mark basilica chiara church connected many small canals much city traffic travels waterways grand canal inverted shape winding roman forum northwest mark square 4 kilometers long 6 meters deep 40 100 meters wide important traffic artery venice 100 ancient buildings sides coast every september traditional regatta venice race gondolas traditional boats grand canal
350,Grand Palais,"Located on the Champs-Elysees, the Grand Palais was built to welcome the International Exposition in Paris in 1900, with Place de la Concorde to the east, the Arc de Triomphe to the west, and the beautiful Pont Alexander III on the Seine to the south. The Grand Palace was once closed for renovation and reopened in 2005, mainly for short-term major cultural events such as art exhibitions and fashion shows. There are two-story ring corridors around the hall, leading to 58 exhibition halls. The Antique Biennale, held every September in even-numbered years, has been held in the reopened Grand Palais since 2006. Since its inception in 1956, this exhibition has been successfully held for 22 times, and the six times before 2006 were held in the Louvre. The west wing of the building is the Palace of Discovery. The Palace of Discovery was established in 1937 with the goal of giving people a grasp of the methods of scientific research. Visitors can conduct their own science experiments and learn about the fundamentals of physics, chemistry, biology, astronomy, medicine and information technology.",None Related,located grand palais built welcome international exposition paris 1900 place de la concorde east arc de triomphe west beautiful pont alexander iii seine south grand palace closed renovation reopened 2005 mainly major cultural events art exhibitions fashion shows ring corridors around hall leading 58 exhibition halls antique biennale held every september years held reopened grand palais since since inception 1956 exhibition successfully held 22 times six times 2006 held louvre west wing building palace discovery palace discovery established 1937 goal giving people grasp methods scientific research visitors conduct science experiments learn fundamentals physics chemistry biology astronomy medicine information technology
351,GrayMatter Robotics,"Develops robotics and AI-based software to assist manufacturing operations. More specifically, the company strives to simplify tedious tasks by building AI brains for commercial robots. The company’s first development, Scan&Sand, is a floor operator that uses sensors to sand materials consistently",robotic,develops robotics software assist manufacturing operations specifically company strives simplify tedious tasks building ai brains commercial robots company first development scan sand floor operator uses sensors sand materials consistently
352,Great Barrier Reef,"The Great Barrier Reef runs through the northeastern coast of Australia and stretches for more than 2,000 kilometers. It is the largest and longest coral group in the world. The Great Barrier Reef consists of more than 600 large and small coral reef islands, which are colorful and beautiful. The central coral reef island has become the iconic attraction of the Great Barrier Reef. 1. Attraction overview The Great Barrier Reef is home to a huge coral kingdom and thousands of marine life, as well as deep undersea cliffs, undersea tunnels and caves. Whether you are taking a helicopter to get a bird's-eye view of the corals or diving deep into the sea, you can truly appreciate it. Feel the magic of nature. When you come to the Great Barrier Reef, you can sign up for diving or semi-submersible ships to explore the underwater world. Of course, if you want to experience sailing out to sea, you can rent a variety of boats (from high-speed speedboats to catamarans) to ride the wind and waves and sail out to sea. You can also go on a cruise, depending on your time and preferences. If you want a more free sea experience, you can take a speedboat. In addition, overlooking the Great Barrier Reef by helicopter is also one of the projects not to be missed here, overlooking the world-famous Heart Reef from the air; riding a hot air balloon over the Atherton Tableland, the experience of going into the sea is not enough! 2. National Park There are many national parks near the Great Barrier Reef. In addition to the Daintree Rainforest (Daintree Rainforest), which is also a world natural heritage, there are many unmissable secret gardens waiting for you to slowly discover. Explore wildlife at Cape Tribulation and Nara Inlet on Hook Island, where rock art from the Ngaro people remains. Tourists can hire a professional guide to take you to the tropical rainforest, experience swimming, barbecue and other items in the national park. 3. Traveling methods To visit the Great Barrier Reef, you need to go to sea. Generally, you choose to start from Cairns or the Whitsundays. The Great Barrier Reef is mainly divided into the inner barrier reef and the outer barrier reef. The inner barrier reef is close to the city, and the outer barrier reef is far away from the city and has less pollution. Therefore, you must carefully choose the area you want to go according to your personal needs. 4. Daydream Island The main feature of Daydream Island is the various water sports and SPA on the island, bathed in the fragrance of nature, daydreaming here is better than sleeping.",None Related,great barrier reef runs northeastern coast australia stretches kilometers largest longest coral group world great barrier reef consists 600 large small coral reef islands colorful beautiful central coral reef island become iconic attraction great barrier reef attraction overview great barrier reef home huge coral kingdom thousands marine life well deep undersea cliffs undersea tunnels caves whether taking helicopter get view corals diving deep sea truly appreciate feel magic nature come great barrier reef sign diving ships explore underwater world course want experience sailing sea rent variety boats speedboats catamarans ride wind waves sail sea also go cruise depending time preferences want free sea experience take speedboat addition overlooking great barrier reef helicopter also one projects missed overlooking heart reef air riding hot air balloon atherton tableland experience going sea enough national park many national parks near great barrier reef addition daintree rainforest daintree rainforest also world natural heritage many unmissable secret gardens waiting slowly discover explore wildlife cape tribulation nara inlet hook island rock art ngaro people remains tourists hire professional guide take tropical rainforest experience swimming barbecue items national park traveling methods visit great barrier reef need go sea generally choose start cairns whitsundays great barrier reef mainly divided inner barrier reef outer barrier reef inner barrier reef close city outer barrier reef far away city less pollution therefore must carefully choose area want go according personal needs daydream island main feature daydream island various water sports spa island bathed fragrance nature daydreaming better sleeping
353,Great Sphinx of Giza,"When it comes to the pyramids in Egypt, you will think of the Sphinx. It is located in the Pyramid Scenic Area. Near the Pyramid of Khufu and the Pyramid of Khafre, the Sphinx and the pyramids, which have a history of about 4,000 years, belong to the ancient Egyptian civilization. A representative monument, it is also synonymous with Egypt. As the name suggests, the Sphinx is a statue of a human-faced lion with its front paws lying forward on the desert. The entire statue is about 22 meters high and 57 meters long. Except for the front paws, the original head of the Sphinx. Wearing a crown, there is a relief of the holy snake on the body, and there is a long beard and a collar around the neck. But after thousands of years of wind, rain and sand burial, the crown and collar disappeared. The Sphinx is not next to the Khafre Pyramid, but at a distance. After entering the Giza Pyramid Scenic Spot, bypass the Pyramid of Khufu and go through a corridor to the side of the Sphinx, and there is a corridor next to the Sphinx, you can climb to the corridor to take pictures. After visiting the Sphinx, you can also walk to the Khafre Pyramid behind it and the nearby Khufu Pyramid.",None Related,comes pyramids egypt think sphinx located pyramid scenic area near pyramid khufu pyramid khafre sphinx pyramids history years belong ancient egyptian civilization representative monument also synonymous egypt name suggests sphinx statue lion front paws lying forward desert entire statue 22 meters high 57 meters long except front paws original head sphinx wearing crown relief holy snake body long beard collar around neck thousands years wind rain sand burial crown collar disappeared sphinx next khafre pyramid distance entering giza pyramid scenic spot bypass pyramid khufu go corridor side sphinx corridor next sphinx climb corridor take pictures visiting sphinx also walk khafre pyramid behind nearby khufu pyramid
354,Grossmunster,"The Zurich Cathedral stands on the banks of the Limmat River, reflecting the Frauenkirche. Its unique twin towers have become a symbol of Zurich, blending Romanesque, Post-Gothic and Neo-Gothic architectural styles. The founder of the Zurich Cathedral is the famous Karl the Great. After the restoration in the 11th-13th centuries, you can see the seated statue of Karl the Great with a sword on the south tower, but this is a replica, and the real one is collected in the St. inside the hall. The underground chapel and the choir seats are the oldest existing parts of the church, dating back to the late 11th and early 12th centuries, and traces of frescoes on the decoration can still be seen today. During the Reformation movement in the 16th century, the religious reformer Huldrych Zwingli gave a speech here, calling on people to ""work without forgetting prayer"".",None Related,zurich cathedral stands banks limmat river reflecting frauenkirche unique twin towers become symbol zurich blending romanesque architectural styles founder zurich cathedral famous karl great restoration centuries see seated statue karl great sword south tower replica real one collected inside hall underground chapel choir seats oldest existing parts church dating back late 11th early 12th centuries traces frescoes decoration still seen today reformation movement 16th century religious reformer huldrych zwingli gave speech calling people work without forgetting prayer
355,Gulangyu Island,"Gulangyu Island is a tiny island located on the estuary of the Chiu-lung River, facing the city of Xiamen. It is a Unesco World Heritage Site that used to be an important window for Sino-foreign exchanges during the 19th and 20th century. The island is a popular attraction for architecture enthusiasts, providing a mixture of different architectural styles including Traditional Southern Fujian Style, Western Classical Revival Style and Veranda Colonial Style. You can hike up the Sun Rock to overlook the whole island, take a walk in the Shuzhuang Garden (including the Piano Museum) which is one of the finest Jiangnan classical gardens, visit the Hao Yue Garden containing architectures from the Ming Dynasty (including a statue of national hero Zheng Chenggong), the organ museum, and the international letter carving art museum. Don't forget to send yourself a postcard from the future at local stores!",None Related,gulangyu island tiny island located estuary river facing city xiamen unesco world heritage site used important window exchanges 19th 20th century island popular attraction architecture enthusiasts providing mixture different architectural styles including traditional southern fujian style western classical revival style veranda colonial style hike sun rock overlook whole island take walk shuzhuang garden including piano museum one finest jiangnan classical gardens visit hao yue garden containing architectures ming dynasty including statue national hero zheng chenggong organ museum international letter carving art museum forget send postcard future local stores
356,Gunung Ijen,"Ijen Volcano is located in the east of Java Island, Indonesia. There is a crater lake about 1 km wide. The crater is famous for its rich sulfur and is now a famous tourist destination.",None Related,ijen volcano located east java island indonesia crater lake 1 km wide crater famous rich sulfur famous tourist destination
357,Gusto Global,building a discovery and development platform for microbiome discovery and design. The company seeks to design Live Biotherapeutic Products that restore missing functions and carry out immunomodulation,bioinformatic,building discovery development platform microbiome discovery design company seeks design live biotherapeutic products restore missing functions carry immunomodulation
358,Gwanghwamun Square,"Gwanghwamun Square, located in Jongno District, connects Jongno Crossroads and Cheonggye Square. The central square is 550 meters long and 34 meters wide. It is backed by the beautiful and majestic Bukhan Mountain and Gyeongbokgung Palace, a complex of ancient buildings. The transportation hub has gradually evolved into a center of rest and entertainment for citizens, and it also attracts tourists from all over the world.",None Related,gwanghwamun square located jongno district connects jongno crossroads cheonggye square central square 550 meters long 34 meters wide backed beautiful majestic bukhan mountain gyeongbokgung palace complex ancient buildings transportation hub gradually evolved center rest entertainment citizens also attracts tourists world
359,Gwangjang Market,"Gwangjang Market is the place where you can feel the national characteristics in Korea. The flow of people coming and going, the shouting Korean language, and the dazzling array of goods, this is the style of the Korean market. A wide variety of goods are sold in the market, ranging from hanbok, fabrics, and satin to vegetables, fruits, meat, and seafood. Anything you can think of is for sale here. In particular, there are countless hanbok shops, which are good and cheap, and you can even buy them at the purchase price~ Food Street In addition, Gwangjang Market has a long ""food street"" starting from the North Gate 2, where you can eat all kinds of food. A variety of delicious snacks, mung bean pancakes, spicy fried rice cakes, fish cakes, kimbap and more. Sitting at a lively table, eating traditional Korean snacks, and drinking a glass of soju, you will become a Korean local before you know it! Many variety shows come here to shoot, such as ""RUNNINGMAN"" and so on. Today, Gwangjang Market has become a must-see destination in Seoul and should not be missed.",None Related,gwangjang market place feel national characteristics korea flow people coming going shouting korean language dazzling array goods style korean market wide variety goods sold market ranging hanbok fabrics satin vegetables fruits meat seafood anything think sale particular countless hanbok shops good cheap even buy purchase food street addition gwangjang market long food street starting north gate 2 eat kinds food variety delicious snacks mung bean pancakes spicy fried rice cakes fish cakes kimbap sitting lively table eating traditional korean snacks drinking glass soju become korean local know many variety shows come shoot runningman today gwangjang market become destination seoul missed
360,Gyeongbokgung Palace,"Gyeongbokgung Palace is located in a corner of central Seoul, the first palace constructed during the Joseon Dynasty. Gyeongbokgung features gorgeous scenery all year round, with cherry blossoms in the spring, green trees in summer, ginkgo trees in autumn, and pearly white snow in winter. Korean dramas, such as ""Da Jang Geum"", ""The House of Kings"", and ""You from the Stars"" have all been filmed here. The east side of Gyeongbokgung Palace is Geonchunmun Gate, with Yeongchumun in the west, Sinmumun in the north, and Gwanghwamun in the south. Gwanghwamun Gate is the main entrance to the palace, featuring exquisite craftsmanship, clever architecture, and a magnificent stylistic design. The changing of the guard ceremony is certainly worth a watch.",None Related,gyeongbokgung palace located corner central seoul first palace constructed joseon dynasty gyeongbokgung features gorgeous scenery year round cherry blossoms spring green trees summer ginkgo trees autumn pearly white snow winter korean dramas da jang geum house kings stars filmed east side gyeongbokgung palace geonchunmun gate yeongchumun west sinmumun north gwanghwamun south gwanghwamun gate main entrance palace featuring exquisite craftsmanship clever architecture magnificent stylistic design changing guard ceremony certainly worth watch
361,Hainan Provincial Museum,"The Hainan Provincial Museum has 10 exhibition halls, 6 of which are the basic exhibitions of the museum, including: Intangible Cultural Heritage, Heavy Instrumental Light Exhibition, Hainan Historical Exhibition, Hainan Tibetan Cultural Relics, Hainan Minority Five Subjects, Hainan History, ethnic minority culture, South African material and cultural heritage, and Hainan cultural relics have been displayed in all directions.",None Related,hainan provincial museum 10 exhibition halls 6 basic exhibitions museum including intangible cultural heritage heavy instrumental light exhibition hainan historical exhibition hainan tibetan cultural relics hainan minority five subjects hainan history ethnic minority culture south african material cultural heritage hainan cultural relics displayed directions
362,Hall of Mirrors,"The Hall of Mirrors is the hall of the Palace of Versailles, with 17 huge floor-to-ceiling glass windows facing the garden on one side, and a huge mirror composed of more than 400 mirrors on the other. The floor of the hall is carved wood, the walls are decorated with lavender and white marble veneer, and the columns are green marble. The capitals, bases and parapets are all gilded brass, and the motif of the decorative motif is the sun with its wings spread out in homage to Louis XIV.",None Related,hall mirrors hall palace versailles 17 huge glass windows facing garden one side huge mirror composed 400 mirrors floor hall carved wood walls decorated lavender white marble veneer columns green marble capitals bases parapets gilded brass motif decorative motif sun wings spread homage louis xiv
363,Haneul Park,"""Sky Park"" is located in the World Cup Park. It is a grass park in the second construction site of Lanzhi Island. It used to be an area with poor soil on Lanzhi Island. Sky Park is famous for its 291 steps, from which you can overlook the panoramic view of Seoul. Boundless Grass Sky Park is characterized by a vast expanse of grass. The ridge line made for the convenience of drainage is the boundary line, and it is divided into 4 areas according to the X-shape. The taller grass is planted on the north and south sides, and the short grass is planted on the east and west sides. In the north of the tall grasslands, there are purple awns. In the rippling purple awn group, citizens can feel the nature. In the low grasslands, there are native varieties such as large thistle, violet and bitterweed, and naturalized varieties such as white alfalfa. Among them, white alfalfa can help other plants grow and promote soil decomposition, which is a very suitable plant for places like Laneige Island. Since 2,000 years ago, more than 30,000 butterflies, including yellow butterflies, blue swallowtail butterflies, nymph butterflies, and golden swallowtail butterflies, have been released on Lanzhi Island with Sky Park as the center. In spring and early summer, butterflies flying in the sky help pollinate plants, which has greatly contributed to the stability of the plant ecosystem in Laneige Island. Another feature of walking up the stairs and looking at Yuanjing Sky Park is that there will be 219 steps along the road, and each step is marked with numbers. Walking up the steps is like walking towards the sky step by step, standing in the Sky Park on Lanzhi Island. From here, the scenery of Seoul catches your eye at a glance, with Bukhan Mountain in the north, Namsan Mountain and 63 Building in the east gate, Han River in the south, and Lucky State Mountain Fortress in the west. In order to take full advantage of such excellent viewing conditions, there is an observation deck on the inclined surface, so that visitors can rest at any time. The bushes outside the park are 1~1.5m higher than the grass, and many large trees like oaks are planted to allow visitors to rest in the shade.",None Related,sky park located world cup park grass park second construction site lanzhi island used area poor soil lanzhi island sky park famous 291 steps overlook panoramic view seoul boundless grass sky park characterized vast expanse grass ridge line made convenience drainage boundary line divided 4 areas according taller grass planted north south sides short grass planted east west sides north tall grasslands purple awns rippling purple awn group citizens feel nature low grasslands native varieties large thistle violet bitterweed naturalized varieties white alfalfa among white alfalfa help plants grow promote soil decomposition suitable plant places like laneige island since years ago butterflies including yellow butterflies blue swallowtail butterflies nymph butterflies golden swallowtail butterflies released lanzhi island sky park center spring early summer butterflies flying sky help pollinate plants greatly contributed stability plant ecosystem laneige island another feature walking stairs looking yuanjing sky park 219 steps along road step marked numbers walking steps like walking towards sky step step standing sky park lanzhi island scenery seoul catches eye glance bukhan mountain north namsan mountain 63 building east gate han river south lucky state mountain fortress west order take full advantage excellent viewing conditions observation deck inclined surface visitors rest time bushes outside park higher grass many large trees like oaks planted allow visitors rest shade
364,Hangang Bridge,"A modern bridge on the Han River, it is a bridge connecting Hanjiang Road, Yongshan District and Bendong, Dongjak District, with a width of 36.8 meters and a length of 1005 meters. It is an earlier bridge across the Han River on the Han River Island. It used to be called Hanjiang Highway Bridge before, but on November 7, 1984, the bridge name was changed to Hanjiang Bridge in order to be consistent with the road name Hanjiang Road.",None Related,modern bridge han river bridge connecting hanjiang road yongshan district bendong dongjak district width meters length 1005 meters earlier bridge across han river han river island used called hanjiang highway bridge november 7 1984 bridge name changed hanjiang bridge order consistent road name hanjiang road
365,Hanson Robotics,"creates AI robots that not only have a human appearance, but also operate with human-like characteristics. These AI robots have life-like skin made of Hanson’s proprietary nanotechnology called Frubber and their human-like features include eye contact, facial recognition, speech and the ability to hold natural conversations. The robots can produce high-quality expressions that offer a less mechanical robotic experience",robotic,creates ai robots human appearance also operate characteristics ai robots skin made hanson proprietary nanotechnology called frubber features include eye contact facial recognition speech ability hold natural conversations robots produce expressions offer less mechanical robotic experience
366,Hanuman World,"• There are a total of 30 stations along the journey, and the station overlooks the entire Phuket Town area.• Experience the beauty of the tropical rainforest from a height of 40 meters and take on an exciting and interesting jungle adventure.• Provide professional event venues with viewing platforms, zip lines, vertical ropes and other facilities to maintain international safety standards.",None Related,total 30 stations along journey station overlooks entire phuket town experience beauty tropical rainforest height 40 meters take exciting interesting jungle provide professional event venues viewing platforms zip lines vertical ropes facilities maintain international safety standards
367,Hanwha Corporation,"Industrial robots developed by Hanwha Corporation/Momentum work in diverse sectors, ranging from automotive to pharmaceutical. In the automotive industry, the company’s robots assist in parts manufacturing, assembly and quality control. In the pharmaceutical industry, as well as food and cosmetics, Hanwha’s robots are able to pack, load and perform pick-and-place actions",robotic,industrial robots developed hanwha work diverse sectors ranging automotive pharmaceutical automotive industry company robots assist parts manufacturing assembly quality control pharmaceutical industry well food cosmetics hanwha robots able pack load perform actions
368,Harmonic Drive,"Harmonic Drive, a leading producer of servo actuators, gearheads, and gear components, opened a newly constructed, manufacturing and R&D facility in Beverly with heavy equipment and specialized machinery used to manufacture high-precision gears",robotic,harmonic drive leading producer servo actuators gearheads gear components opened newly constructed manufacturing r facility beverly heavy equipment specialized machinery used manufacture gears
369,Hassan II Mosque,"Hassan II Mosque is a large seaside mosque, one-third of which is built on the sea. It was built in 1993 and has a very intricate decoration. It has a towering 210-meter-high minaret.",None Related,hassan ii mosque large seaside mosque built sea built 1993 intricate decoration towering minaret
370,Hell's Mouth,"It is located about 2 kilometers southwest of the old town of Cascais. A hole is formed on a 30-meter cliff, the waves of the Atlantic beat against the cliff, and the sea water pours in from the hole, which makes people feel the magic of nature. The waves of the Atlantic Ocean are even more frightening because of the cliffs and a deep hole in the cliffs. There is a small red-roofed house on the top. An old man is waiting here to welcome local and foreign tourists who come here from time to time. Standing on the shore, I saw the waves in the ocean rolling in, over the reefs near the shore, rolling out vortices one by one, and then furiously hitting the rocks and caves on the cliffs, making a deafening loud noise. Spectacular cliffs and huge waves and loud noises, hence the name.",None Related,located 2 kilometers southwest old town cascais hole formed cliff waves atlantic beat cliff sea water pours hole makes people feel magic nature waves atlantic ocean even frightening cliffs deep hole cliffs small house top old man waiting welcome local foreign tourists come time time standing shore saw waves ocean rolling reefs near shore rolling vortices one one furiously hitting rocks caves cliffs making deafening loud noise spectacular cliffs huge waves loud noises hence name
371,Hell's Mouth,"It is located about 2 kilometers southwest of the old town of Cascais. A hole is formed on a 30-meter cliff, the waves of the Atlantic beat against the cliff, and the sea water pours in from the hole, which makes people feel the magic of nature. The waves of the Atlantic Ocean are even more frightening because of the cliffs and a deep hole in the cliffs. There is a small red-roofed house on the top. An old man is waiting here to welcome local and foreign tourists who come here from time to time. Standing on the shore, I saw the waves in the ocean rolling in, over the reefs near the shore, rolling out vortices one by one, and then furiously hitting the rocks and caves on the cliffs, making a deafening loud noise. Spectacular cliffs and huge waves and loud noises, hence the name.",None Related,located 2 kilometers southwest old town cascais hole formed cliff waves atlantic beat cliff sea water pours hole makes people feel magic nature waves atlantic ocean even frightening cliffs deep hole cliffs small house top old man waiting welcome local foreign tourists come time time standing shore saw waves ocean rolling reefs near shore rolling vortices one one furiously hitting rocks caves cliffs making deafening loud noise spectacular cliffs huge waves loud noises hence name
